Wall time,Step,Value
1711238490.8404272,16384,89.5199966430664
1711238499.4484944,32768,99.72000122070312
1711238508.2332587,49152,97.30000305175781
1711238516.366526,65536,94.72000122070312
1711238525.0911107,81920,102.72000122070312
1711238533.6689115,98304,98.16000366210938
1711238542.421152,114688,110.97000122070312
1711238550.9543943,131072,110.41999816894531
1711238559.6315005,147456,110.31999969482422
1711238568.1712701,163840,121.41000366210938
1711238578.189472,180224,140.52000427246094
1711238589.7177377,196608,178.1699981689453
1711238602.4699733,212992,206.75999450683594
1711238619.2930508,229376,277.25
1711238634.8454602,245760,349.3399963378906
1711238652.6750898,262144,404.1700134277344
1711238671.2339206,278528,443.0299987792969
1711238687.0211835,294912,471.8999938964844
1711238705.9203725,311296,537.52001953125
1711238724.3611295,327680,534.1199951171875
1711238743.270764,344064,591.030029296875
1711238762.1394093,360448,684.3300170898438
1711238781.1341348,376832,717.530029296875
1711238799.8799102,393216,751.260009765625
1711238819.6172001,409600,790.0700073242188
1711238839.63006,425984,830.8699951171875
1711238858.8126972,442368,846.4099731445312
1711238878.4524865,458752,868.8599853515625
1711238898.8946714,475136,886.3699951171875
1711238919.4900222,491520,921.260009765625
1711238939.3799071,507904,921.260009765625
1711238958.758555,524288,929.3400268554688
1711238978.7014635,540672,901.1900024414062
1711238998.2498505,557056,905.9099731445312
1711239016.8580575,573440,887.6500244140625
1711239036.090668,589824,878.8599853515625
1711239056.424683,606208,833.3400268554688
1711239075.9993691,622592,827.0700073242188
1711239096.5527782,638976,822.1199951171875
1711239117.2297702,655360,829.8599853515625
1711239137.1307833,671744,818.969970703125
1711239158.3957195,688128,848.5499877929688
1711239178.3106277,704512,863.1199951171875
1711239198.8206294,720896,898.1300048828125
1711239220.8577347,737280,932.260009765625
1711239241.7240052,753664,932.260009765625
1711239262.0691037,770048,977.6699829101562
1711239283.3017676,786432,986.8900146484375
1711239304.1208951,802816,985.4600219726562
1711239323.6461244,819200,964.1199951171875
1711239342.9451964,835584,957.3099975585938
1711239363.262828,851968,943.5800170898438
1711239382.6938012,868352,929.9099731445312
1711239401.093999,884736,901.8300170898438
1711239419.1540055,901120,901.219970703125
1711239437.9641101,917504,879.8400268554688
1711239456.5178597,933888,893.5700073242188
1711239475.7677786,950272,907.239990234375
1711239494.3669038,966656,928.0700073242188
1711239512.6235209,983040,922.22998046875
1711239531.9806008,999424,937.3499755859375
1711239550.6605713,1015808,932.27001953125
1711239568.8219209,1032192,852.6799926757812
1711239585.0305617,1048576,756.0900268554688
1711239601.3881843,1064960,662.8699951171875
1711239615.8071098,1081344,543.9199829101562
1711239630.22981,1097728,465.4200134277344
1711239644.1855648,1114112,408.7099914550781
1711239659.3121936,1130496,425.1499938964844
1711239674.0772312,1146880,441.30999755859375
1711239687.274434,1163264,452.260009765625
1711239701.2025545,1179648,412.3299865722656
1711239714.4231033,1196032,401.3299865722656
1711239727.8017528,1212416,397.29998779296875
1711239741.1778078,1228800,393.9599914550781
1711239754.1684644,1245184,390.0
1711239767.324521,1261568,396.3699951171875
1711239780.138784,1277952,400.1499938964844
1711239794.1800928,1294336,394.79998779296875
1711239807.4209087,1310720,405.1199951171875
1711239820.4188251,1327104,393.19000244140625
1711239832.9478893,1343488,374.3800048828125
1711239845.0032253,1359872,359.3299865722656
1711239856.9191713,1376256,350.989990234375
