#{"t_start": 1711315900.2240603, "env_id": "LunarLander-v2"}
r,l,t
-117.970462,98,0.737661
-106.439049,71,0.805216
-80.729233,76,0.887076
-317.007988,98,0.981003
-188.324521,82,1.060726
-157.101984,83,1.150481
-368.879956,91,1.234891
-249.336124,94,1.325743
-371.604022,98,1.420285
-104.383529,72,1.488692
-318.29128,90,1.571647
-100.426504,64,1.645026
-74.174031,81,1.72647
-246.508993,117,1.842793
-109.54972,65,1.898932
-243.469949,97,1.994456
-299.964884,104,2.096178
-120.839942,92,2.178136
-103.007012,123,2.299475
-326.669877,85,2.386957
-49.593614,61,2.44117
-97.130879,86,2.519723
-135.081049,124,2.659012
-393.464175,93,2.742228
-155.411792,80,2.820116
-54.318616,59,2.87606
-163.13271,73,2.94632
-102.721609,125,3.062004
-138.710828,115,3.172216
-96.727244,68,3.240499
-60.374217,75,3.311328
-171.086922,116,3.420807
-115.763722,64,3.478892
-269.816965,114,3.598802
-252.797959,104,3.697623
-101.218917,76,3.773011
-112.684479,73,3.84564
-78.648564,109,3.948137
-227.0432,100,4.042164
-166.688022,88,4.123912
26.276584,86,4.207184
-87.717865,96,4.295998
-133.294457,86,4.377523
-121.082642,90,4.462161
-269.405437,77,4.549662
-389.271255,115,4.660881
-320.332047,97,4.754676
-292.12703,103,4.846894
-431.747053,90,4.93065
-233.302241,85,5.009727
-77.625347,85,5.093898
-343.309837,92,5.178362
-101.374934,89,5.263956
-131.497566,69,5.34284
-121.256914,71,5.40867
-204.839679,69,5.475061
-165.879451,93,5.580853
-310.112226,77,5.656698
-127.66082,83,5.729175
-99.004068,94,5.817323
-26.499472,70,5.884912
-220.648794,85,5.962976
-239.895678,71,6.03593
-428.712443,97,6.126277
-127.120678,68,6.199066
-109.451427,88,6.283708
-342.718293,97,6.376698
-316.695314,111,6.487312
-239.783695,99,6.582262
-285.920069,98,6.677229
-131.667577,63,6.733621
-350.375462,86,6.816178
-146.616319,98,6.906765
-126.026783,95,6.997211
-105.359108,102,7.094999
-101.659631,110,7.195555
-142.579802,77,7.272099
-93.689059,94,7.359004
-95.979523,69,7.441622
-94.900896,88,7.521935
-45.521773,64,7.588029
-136.082072,71,7.654974
-380.331281,103,7.749066
