#{"t_start": 1711467978.4093885, "env_id": "LunarLander-v2"}
r,l,t
-82.728002,101,0.972644
-153.649318,65,1.158011
-105.333707,71,1.384852
-208.675596,116,1.733867
-267.633575,88,2.018063
-160.554454,64,2.215733
-364.870628,101,2.508037
-121.056811,94,2.793012
-89.922514,64,3.005091
-274.175094,95,3.312867
-408.346177,104,3.706199
-426.227105,79,3.971399
-88.007894,72,4.212306
-77.496475,104,4.526696
-132.610932,71,4.747748
-59.028478,100,5.067184
-86.206571,96,5.377966
-81.700562,71,5.6184
-227.374066,115,5.988612
-123.176715,69,6.221814
-135.79605,131,6.694925
-222.82738,118,7.11533
-91.65319,67,7.33861
-252.787562,110,7.700225
-200.066752,137,8.133581
-188.712079,87,8.417892
-34.783996,98,8.719038
-114.930299,68,8.930165
-225.66072,145,9.40685
-70.027724,62,9.593982
-62.072303,68,9.801512
-292.79312,83,10.056256
-91.536023,79,10.300643
-174.092679,73,10.539961
-272.350318,93,10.846223
-113.754212,131,11.258742
-104.294846,70,11.497787
-78.647551,99,11.799607
-235.587579,76,12.02555
-29.954867,139,12.479532
-204.531002,121,12.879263
-231.637417,110,13.215459
-120.284878,62,13.395241
-86.221428,92,13.695091
-207.843979,109,14.064484
-85.46601,73,14.331929
-225.658271,77,14.567619
-100.219007,64,14.760622
-97.586578,94,15.059894
-99.268107,117,15.425538
-264.763641,106,15.735499
-127.094609,95,16.036166
-90.051874,90,16.351283
-91.392786,146,16.864222
-173.969677,122,17.318716
-34.229672,71,17.536153
-144.678125,77,17.782857
-122.414828,132,18.199518
-315.896824,119,18.609833
-385.249363,89,18.891076
-226.22599,96,19.1934
-90.063344,73,19.426383
-175.51192,105,19.744971
-161.250428,70,19.951949
-159.862744,74,20.185923
-128.116593,67,20.392208
-103.548101,88,20.669606
-109.984783,69,20.872502
-141.452277,97,21.181226
-48.550448,63,21.401723
-128.123767,84,21.660116
-137.250493,84,21.927014
-95.441655,72,22.175497
-120.105973,116,22.532577
-57.958492,70,22.738842
-84.055692,68,22.970012
-167.465484,94,23.293669
-72.18656,60,23.490611
-94.533324,103,23.820728
-46.611643,67,24.048473
-76.643692,73,24.287586
-91.913098,69,24.495821
-117.11233,68,24.709176
-241.24692,96,25.028656
-114.489202,125,25.40971
-84.64612,115,25.850554
-121.784806,105,26.165277
-389.121545,89,26.450804
-100.079183,64,26.660649
-121.996594,117,27.036385
-40.473247,77,27.266889
-114.7998,92,27.540234
-54.394781,78,27.795479
-101.079431,61,28.011485
-98.447954,78,28.26164
-96.372253,83,28.529768
-86.702053,55,28.701463
-88.061611,69,28.927247
-133.959297,122,29.336526
-75.209515,79,29.604865
-219.47118,73,29.83941
-61.506301,71,30.060611
-104.728948,83,30.33565
-178.86085,91,30.639968
-100.718037,60,30.851906
-81.571507,70,31.07239
-130.185621,130,31.509071
-90.056454,114,31.849182
-231.035549,89,32.12631
-111.107604,68,32.336871
-113.950618,65,32.541077
-66.017294,75,32.760442
-127.783476,83,33.026178
-106.075782,58,33.21464
-21.021726,72,33.435495
-189.550369,123,33.826529
-93.320034,111,34.182309
-354.215723,107,34.519261
-79.922388,118,34.873959
-249.498561,70,35.089969
-90.250627,111,35.435003
-80.549039,108,35.767864
-64.551934,68,35.974131
-90.833587,71,36.202279
-77.991222,102,36.542208
-113.013666,76,36.798214
-82.015624,114,37.165462
-127.402874,105,37.505277
