#{"t_start": 1711315900.226742, "env_id": "LunarLander-v2"}
r,l,t
-239.328274,117,0.75581
-150.065438,107,0.867301
-118.298853,85,0.946101
-23.576789,145,1.084077
-89.446602,56,1.150833
-111.338707,57,1.202
-116.198641,81,1.280742
-299.02084,82,1.359754
-166.130352,72,1.430116
-250.269881,111,1.532197
-126.817588,70,1.594786
-358.252091,126,1.735494
-93.202537,89,1.82175
-124.846654,91,1.907975
-164.879667,72,1.974576
-15.302042,68,2.039821
-274.338225,101,2.139984
-199.161905,112,2.241156
-74.501125,113,2.360669
-405.206116,98,2.449625
-161.346625,83,2.524952
-101.417993,87,2.621242
-123.503813,61,2.685291
-333.650205,101,2.783134
-247.038146,112,2.886372
-409.798584,83,2.965287
-202.887928,80,3.039803
-160.608535,68,3.102756
-367.499128,156,3.259651
-105.370079,85,3.336135
-122.825371,90,3.421771
-71.38121,104,3.516367
-204.09232,113,3.636824
-433.560882,159,3.794833
-116.867332,91,3.878014
-109.520418,87,3.963014
-58.910695,68,4.025646
-105.748587,122,4.142823
-126.013897,107,4.241207
-384.880794,118,4.350623
-231.434576,108,4.453484
-104.576331,72,4.536939
-107.421286,69,4.608458
-187.495103,91,4.691974
-47.704137,59,4.748869
-120.592377,78,4.818152
-207.166249,75,4.88744
-534.493291,88,4.970616
-100.575803,74,5.038992
-98.942476,72,5.110456
-317.903547,72,5.176529
-19.209188,127,5.312078
-73.542382,103,5.407931
-205.689751,71,5.480307
-303.69164,130,5.615721
-277.521027,79,5.687581
-116.20145,82,5.764446
-224.224014,101,5.858694
-138.476449,127,5.987715
-70.948939,60,6.041693
-223.100287,108,6.142481
-304.502971,97,6.244324
-99.370909,128,6.366457
-151.009267,85,6.442908
-427.503623,141,6.587685
-89.517634,129,6.710187
-128.537972,76,6.780646
-105.482982,113,6.887249
-119.984062,67,6.950044
-461.812671,108,7.056232
-144.467143,93,7.140761
-99.573673,76,7.210192
-56.118872,60,7.271414
-229.349936,69,7.335632
-94.672626,67,7.399365
-75.290146,122,7.528446
-297.980004,69,7.597435
-17.995279,111,7.700648
-59.142929,87,7.779079
-248.544112,77,7.852635
-308.048667,144,7.995385
-190.438314,101,8.099105
-106.144251,63,8.158787
-103.263242,67,8.227669
-61.059473,69,8.293646
-117.030513,57,8.347705
-270.698743,85,8.439668
-64.216932,70,8.506395
-117.080536,64,8.564626
-481.135025,93,8.652637
-148.916526,85,8.733865
-384.784746,102,8.844098
-133.433746,61,8.90458
-109.106828,69,8.969519
-78.004973,112,9.070626
-132.106889,97,9.162843
-93.092428,77,9.237546
-177.742611,71,9.303333
-76.129308,66,9.379546
-105.662632,88,9.469519
-164.524857,113,9.574936
-134.620275,131,9.698825
-54.419901,102,9.795813
-110.914998,92,9.879816
-161.870777,98,9.978956
-98.006228,66,10.045552
-62.021044,54,10.099182
-288.648542,103,10.196946
-160.321291,76,10.268309
-108.289142,91,10.519881
-71.569317,72,11.44731
-147.840518,116,12.992149
-117.226377,104,14.381344
-82.519042,68,15.285069
-127.564161,79,16.349397
-128.100698,71,17.301866
-65.479444,99,18.63591
-415.581039,81,19.696485
-110.25944,101,21.047383
-160.000869,96,22.339895
-260.679813,76,23.368788
-111.215793,68,24.28062
-3.265753,112,25.806195
-199.85535,123,27.48373
-445.412284,84,28.628814
17.47466,74,29.616023
-209.908047,86,30.854259
-97.414894,134,32.635144
-133.844634,83,33.76502
-210.435691,82,34.909758
-111.454823,121,36.529175
-143.897413,86,37.675982
-83.423724,57,38.486031
-231.00129,109,39.970482
-112.762463,84,41.144358
-222.183368,99,42.487272
-77.061453,95,43.719279
-151.132516,102,45.141176
-106.118497,66,45.999481
-159.101068,110,47.582928
-135.560522,102,48.942759
-10.994939,71,49.898594
-212.161224,105,51.371911
-82.265279,87,52.550393
-76.403651,72,53.522636
-173.947034,112,55.040801
-77.966075,68,56.040977
-293.065468,98,57.38804
-84.279713,100,58.726225
-67.057199,97,60.019736
-102.109744,85,61.212182
-205.420995,100,62.599456
-109.407114,76,63.651073
-179.915541,111,65.182646
-59.072314,74,66.175682
-121.15757,67,67.106283
-113.864451,86,68.325995
-256.615817,121,69.981894
-51.393034,64,70.844289
-152.761718,74,71.815555
-312.88092,90,73.060851
-81.562906,83,74.200151
-203.600309,103,75.56908
-238.369541,86,76.761518
-66.756091,60,77.580295
