#{"t_start": 1711315900.225238, "env_id": "LunarLander-v2"}
r,l,t
-11.472467,132,188.467935
-170.615703,91,189.749061
-73.361418,110,191.364413
-140.703405,91,192.689857
-76.177652,63,193.565305
-108.543553,100,195.02873
-80.758246,69,196.085512
-54.991261,64,197.036415
-108.353661,72,198.116705
-24.296334,91,199.417909
-84.962337,68,200.417566
-106.665945,63,201.380799
-98.50194,73,202.463592
-66.465212,118,204.247623
-134.610808,63,205.229228
-193.995637,79,206.536661
-122.229802,98,208.039339
-106.95777,79,209.270863
-94.849618,119,211.052129
-106.464273,98,212.567584
-113.214451,107,214.205522
-119.244535,79,215.377557
-107.603836,75,216.522999
-109.808988,91,217.963341
-148.776524,62,218.88433
-135.391458,124,220.770635
-122.823183,127,222.760405
-146.269359,93,224.169642
-140.666716,89,225.555896
-100.614591,87,226.822568
-99.844829,91,228.232816
-111.022802,74,229.421646
-61.229151,79,230.579264
-63.960239,109,232.293306
-142.01994,100,233.896909
-74.255379,81,235.143789
-70.643656,94,236.606514
-93.512086,83,237.930891
-314.810965,107,239.578523
-73.719635,71,240.666692
-183.375541,108,242.338734
-97.10625,97,243.807532
-193.941365,109,245.461957
-102.999354,106,247.113567
-84.365506,59,247.961823
-97.521359,81,249.264872
-192.83209,111,250.92817
-305.159712,76,252.090303
-119.781872,62,253.058146
-77.701371,67,254.091526
-118.05974,94,255.494852
-79.218446,71,256.587515
-172.697753,136,258.705584
-80.065828,101,260.261511
-81.71796,76,261.440065
-37.386615,126,263.40977
-82.324884,73,264.569504
-66.48263,94,265.990443
-83.91005,102,267.595546
-105.757336,79,268.824576
-81.95313,102,270.368756
-170.014473,116,272.151477
-87.150964,68,273.194106
-43.310589,68,274.230653
-91.636354,103,275.81943
-79.663649,85,277.112141
-61.32617,65,278.122018
-148.168376,116,279.922764
-105.610283,60,280.826619
-136.407445,109,282.5444
-65.322545,85,283.847853
-75.259628,101,285.377413
-88.190417,97,286.853439
-89.217968,91,288.30074
-102.291204,82,289.583402
-118.20602,72,290.703405
-91.125587,78,291.869508
-144.183885,73,292.974582
-95.143558,104,294.564225
-86.815628,115,296.357479
-51.898969,67,297.398504
-83.588282,70,298.475415
-191.876026,120,300.336525
-151.014995,106,301.993014
-76.518284,89,303.321061
-64.037416,103,304.888272
-114.260373,95,306.364247
-62.024147,126,308.248661
-85.743948,96,309.748582
-66.215837,75,310.959282
-89.0292,77,312.12484
-96.328318,121,313.959679
-129.532104,74,315.148754
-54.102651,106,316.755168
-97.237014,117,318.607524
-46.84774,75,319.71531
-60.947757,64,320.689222
-121.789802,91,322.100473
-113.641622,72,323.190232
-127.589918,113,324.917377
-85.22504,128,326.927835
-101.234561,118,328.757353
-101.36779,92,330.149652
-128.357067,65,331.129546
-229.586882,108,332.770607
-87.227256,67,333.797781
-193.498974,83,335.079497
-76.544836,126,337.045875
-106.159227,87,338.403384
-71.424285,81,339.627987
-106.222683,104,341.223451
-131.377105,140,343.350863
-76.175713,77,344.497138
-67.312035,87,345.833586
-64.030104,81,347.094319
7.926438,162,349.7056
-134.99486,79,350.933382
-93.444906,73,352.031413
-105.53358,63,353.008321
-126.518478,123,354.892715
-94.295696,112,356.642903
-95.146468,114,358.439473
-68.334313,81,359.655296
-80.274912,97,361.130093
-232.789394,100,362.729111
-88.994029,96,364.218458
-182.279144,112,365.944341
-77.10926,117,367.799839
-96.830159,92,369.207157
-213.827988,112,370.911645
-69.886734,90,372.266315
-54.241946,73,373.406232
-80.02279,82,374.683092
-38.41993,64,375.668115
-237.218501,100,377.200815
-77.670913,78,378.354071
-85.739811,68,379.384607
-331.003529,121,381.301596
-88.886496,99,382.78558
26.924645,94,384.258317
-88.811269,79,385.483759
-120.413292,107,387.101562
-103.703275,106,388.781746
-89.754381,106,390.393361
-29.336189,74,391.55274
-158.870437,91,392.948058
-100.665717,120,394.78836
-96.773444,110,396.462149
-245.884177,118,398.31245
-84.227559,118,400.103389
-77.305267,134,402.193981
-110.202109,107,403.81983
-53.69265,67,404.883436
-27.129074,69,405.922359
-54.519637,64,406.903839
-46.260289,127,408.862056
-339.400254,128,410.838544
-231.815143,109,412.56292
-94.374828,102,414.172447
-134.624579,115,415.967469
-11.131622,151,418.368445
-69.639399,102,419.957724
-68.895959,72,421.055914
-92.691066,82,422.298338
-123.300001,78,423.527755
-75.635517,96,424.993068
-170.559285,117,426.770489
-105.779575,105,428.393066
-25.10414,70,429.488339
-91.12162,97,430.97548
-75.175982,92,432.383745
-73.84112,73,433.497104
-87.469924,107,435.188925
-55.374688,76,436.341771
-58.30938,117,438.119836
-41.37388,100,439.699595
-77.305564,70,440.85008
-113.715903,65,441.820568
-152.06513,87,443.168305
-304.61651,112,444.877506
-184.710978,111,446.606014
-96.497861,77,447.773529
-296.537543,93,449.225146
-53.059174,78,450.476311
-206.040734,131,452.4368
-62.365104,75,453.625915
-222.102904,107,455.300012
-118.442476,95,456.771432
-52.703729,88,458.114469
-123.151425,77,459.285501
-77.167477,90,460.627967
-147.189166,94,462.094596
-71.520735,85,463.405316
-82.716209,94,464.900669
-59.020947,89,466.263287
-146.528061,105,467.857478
-90.912789,128,469.82583
-99.910136,107,471.516568
-107.001222,115,473.305521
-62.564094,92,474.737731
-81.900314,64,475.723653
-79.606523,94,477.130511
-49.520234,96,478.605663
-40.477663,79,479.841853
-35.584523,80,481.153977
-60.962375,123,483.078436
-114.007465,81,484.320544
-112.384623,113,486.03536
-123.338775,81,487.26675
-104.771614,79,488.537264
-160.003658,87,489.902427
-106.986608,69,490.950971
-134.083104,77,492.117751
-111.745987,119,494.069071
-75.378805,99,495.614136
-94.539141,87,497.005722
-66.140562,68,498.054958
-82.09223,70,499.106175
-89.573631,116,500.874734
-66.568713,72,501.994653
-57.052213,77,503.178503
-51.127519,69,504.295084
-95.185723,68,505.366446
-31.629132,120,507.237545
-160.275319,102,508.784452
-144.663823,99,510.336124
-171.953311,98,511.886574
-40.216596,119,513.740045
-97.77087,116,515.595939
-52.544608,72,516.71835
-52.369233,81,517.957568
-86.420901,61,518.952926
-97.946781,87,520.27059
-124.546986,112,521.989468
-170.453214,101,523.603527
-65.046185,134,525.655059
-90.676311,94,527.161597
-109.557004,87,528.455623
-69.867788,110,530.186569
-67.650882,91,531.617632
-149.010967,129,533.614388
-167.984052,112,535.353987
-112.855489,117,537.154317
-86.431868,77,538.34497
-86.898107,112,540.10363
-150.794994,116,541.884146
-290.874745,124,543.841811
-94.090469,99,545.433223
-79.022993,125,547.369963
-64.488171,107,549.043871
-131.426007,105,550.649369
-78.126062,61,551.643785
-110.685164,111,553.327014
-50.186308,95,554.862816
-48.488714,136,557.015245
-307.010401,77,558.201603
-61.70402,78,559.454189
-113.508241,86,560.790233
-59.041174,108,562.477424
-217.625885,118,564.369228
-106.492681,75,565.550179
-78.069098,83,566.782411
-54.75526,108,568.477727
-78.014743,108,570.154242
-55.558458,105,571.816674
-81.915058,95,573.248014
-67.678163,91,574.721078
-104.731942,89,576.096774
-44.55474,95,577.604992
-94.039114,78,578.860443
-302.154064,145,581.112275
-127.250807,107,582.804553
-167.62252,128,584.821691
-87.572226,86,586.221353
-103.757755,74,587.400282
-61.206987,63,588.387218
-95.836309,90,589.8519
-87.685885,93,591.332888
-90.854772,74,592.519981
-65.8012,107,594.126943
-38.901985,94,595.626175
-44.098846,101,597.191502
-80.396391,57,598.093108
-73.068398,88,599.463816
-72.842541,72,600.589198
-57.417792,85,601.978357
-71.703202,111,603.670133
-64.818317,70,604.793549
-45.207655,82,606.064881
-27.197216,74,607.24917
-71.610556,120,609.120455
-71.476396,74,610.246191
-59.153249,106,611.936501
-52.90166,79,613.188082
-85.810044,106,614.789413
-34.364086,83,616.086919
-58.847135,66,617.068544
-89.29636,100,618.629942
-45.949233,68,619.693024
-87.541872,81,621.001154
-60.731746,74,622.12753
-55.744031,97,623.613473
-90.295291,92,625.046012
-58.796172,92,626.510184
-74.035436,111,628.261615
-77.152759,103,629.895972
-26.835512,118,631.706164
-231.322872,112,633.478072
-66.710064,90,634.912749
-71.089628,97,636.401167
-62.375891,101,637.972433
-102.767338,125,639.969682
-84.919487,108,641.6763
-78.751874,80,642.940852
-76.310085,101,644.506608
-172.60827,151,646.926751
-36.716278,103,648.507323
-117.637068,107,650.225322
-81.311471,81,651.520032
-74.184636,79,652.803632
-55.590802,71,653.930212
-90.39871,113,655.763777
-108.78058,84,657.155773
-70.103418,68,658.321986
-101.992888,105,660.021496
-66.027797,102,661.640338
-51.199584,128,663.641775
-134.689835,92,665.066068
-65.981588,112,666.819544
-82.882546,77,668.021752
-88.64526,62,669.053653
-306.188873,101,670.630509
-43.736421,109,672.351073
-51.507156,92,673.787358
-77.226559,76,674.97229
