Wall time,Step,Value
1711496435.1650245,614432,-8.318937301635742
1711496452.3584392,622432,-4.625708103179932
1711496467.5626798,630432,-2.4948081970214844
1711496475.4981453,634432,-1.598580002784729
1711496501.6129313,646432,-0.42204734683036804
1711496510.0154307,650432,-0.43449386954307556
1711496541.3059678,666432,-0.2906959056854248
1711496566.0671422,678432,0.13076646625995636
1711496574.681039,682432,0.5029878616333008
1711496590.8341122,690432,0.1334730088710785
1711496599.9301436,694432,-1.2914578914642334
1711496615.0846136,702432,-0.9008258581161499
1711496623.594277,706432,-0.5087750554084778
1711496631.5319414,710432,-0.0064564598724246025
1711496654.2654407,722432,-0.44083741307258606
1711496662.6221082,726432,-1.576651692390442
1711496678.1957505,734432,-0.3385789692401886
1711496709.255957,750432,0.8362711071968079
1711496733.5372922,762432,2.5289297103881836
1711496742.6056879,766432,2.2647440433502197
1711496750.8328042,770432,2.555792808532715
1711496759.309622,774432,3.222656011581421
1711496766.655828,778432,3.8352484703063965
1711496775.4335613,782432,2.9869799613952637
1711496783.0848281,786432,3.056257963180542
1711496798.8267944,794432,4.885222434997559
1711496807.053293,798432,3.8158838748931885
1711496815.0742006,802432,4.0331034660339355
1711496823.24451,806432,4.139834403991699
1711496831.793172,810432,4.017843246459961
1711496839.6838982,814432,4.020756244659424
1711496847.0048816,818432,3.988687515258789
1711496871.832917,830432,3.9334678649902344
1711496879.9250035,834432,3.5602498054504395
1711496888.2045252,838432,2.5451550483703613
1711496936.1952646,862432,1.7686128616333008
1711496952.028043,870432,1.537441611289978
1711496959.330161,874432,0.7313057780265808
1711496966.757304,878432,-0.16705961525440216
1711496975.4989474,882432,0.27340301871299744
1711496984.481426,886432,-0.014414089731872082
1711496992.7391493,890432,-0.5994728207588196
1711497001.0727494,894432,-1.4721823930740356
1711497009.522931,898432,-1.2907651662826538
1711497018.1618261,902432,-1.8187695741653442
1711497026.571394,906432,-1.6043733358383179
1711497034.782232,910432,-1.9768693447113037
1711497043.0659466,914432,-1.9247750043869019
1711497051.9954126,918432,-3.6035706996917725
1711497060.361984,922432,-3.4164693355560303
1711497068.6920068,926432,-4.359480381011963
1711497076.9374526,930432,-4.663632869720459
1711497084.2028356,934432,-5.355953693389893
1711497099.2935996,942432,-4.7135443687438965
1711497107.3301861,946432,-4.997565269470215
1711497115.9185522,950432,-4.9168524742126465
1711497131.8473928,958432,-5.921175956726074
1711497148.7511203,966432,-6.576465606689453
1711497165.7725224,974432,-7.669759273529053
1711497174.0178506,978432,-8.067880630493164
1711497198.8793736,990432,-7.835873603820801
1711497207.1559856,994432,-7.4320292472839355
1711497215.3581371,998432,-6.850964546203613
1711497231.2249334,1006432,-6.585750102996826
1711497238.802346,1010432,-7.15927791595459
1711497246.3004467,1014432,-5.8860673904418945
1711497262.318305,1022432,-4.394726753234863
1711497279.2299352,1030432,-3.812309980392456
1711497287.0561085,1034432,-2.840256452560425
1711497304.2691064,1042432,-3.6139636039733887
1711497312.9322722,1046432,-3.229578733444214
1711497320.944224,1050432,-3.1735472679138184
1711497329.0523107,1054432,-2.5281622409820557
1711497336.6948276,1058432,-3.424063205718994
1711497344.6046815,1062432,-3.7993106842041016
1711497352.8956237,1066432,-3.4632411003112793
1711497360.8161228,1070432,-3.589416742324829
1711497369.835953,1074432,-3.661654233932495
1711497385.2561886,1082432,-1.591993808746338
1711497393.1661558,1086432,-2.5930533409118652
1711497401.3829505,1090432,-4.136861324310303
1711497426.3736396,1102432,-6.613213062286377
