Wall time,Step,Value
1711472419.9254906,16384,-187.45355224609375
1711472426.4339767,32768,-157.0995635986328
1711472432.9920151,49152,-142.60350036621094
1711472439.6035569,65536,-111.68534088134766
1711472446.1996493,81920,-100.33196258544922
1711472452.8396554,98304,-104.19974517822266
1711472459.449377,114688,-88.86096954345703
1711472466.1082788,131072,-67.68301391601562
1711472472.8656893,147456,-59.25297927856445
1711472479.8345714,163840,-36.65401077270508
1711472487.1927702,180224,-23.782344818115234
1711472495.2241652,196608,-27.302574157714844
1711472503.6930351,212992,-29.279008865356445
1711472514.494966,229376,-20.21794319152832
1711472527.0365198,245760,-21.48763084411621
1711472542.399636,262144,-20.66514778137207
1711472557.1972928,278528,-14.979714393615723
1711472575.3459458,294912,-9.464018821716309
1711472592.5455885,311296,-11.5584077835083
1711472609.3681235,327680,-5.097970485687256
1711472626.6664612,344064,-1.4392822980880737
1711472644.3512802,360448,13.22353458404541
1711472662.9469352,376832,31.725147247314453
1711472679.6595316,393216,39.65909957885742
1711472697.6307905,409600,53.50076675415039
1711472717.922187,425984,64.55441284179688
1711472737.1040108,442368,71.75606536865234
1711472755.088902,458752,79.59711456298828
1711472774.5080035,475136,83.11129760742188
1711472794.220807,491520,92.0716323852539
1711472813.104262,507904,97.35720825195312
1711472830.892605,524288,93.43756866455078
1711472850.5424683,540672,95.87701416015625
1711472869.2281206,557056,99.36641693115234
1711472887.5791042,573440,101.35468292236328
1711472906.8220468,589824,102.21922302246094
1711472925.1707947,606208,104.46442413330078
1711472943.70718,622592,112.07334899902344
1711472962.6800218,638976,113.85350036621094
1711472980.5560336,655360,114.14265441894531
1711472997.284754,671744,116.39884185791016
1711473014.443109,688128,118.70285034179688
1711473031.0282984,704512,118.80125427246094
1711473047.4362295,720896,116.02289581298828
1711473064.211605,737280,121.4024658203125
1711473081.6379693,753664,123.72745513916016
1711473099.6098664,770048,127.3486099243164
1711473117.0206676,786432,128.327392578125
1711473134.3024914,802816,131.1066131591797
1711473150.5233545,819200,137.20645141601562
1711473168.301962,835584,146.02255249023438
1711473182.9984937,851968,157.08934020996094
1711473197.9682326,868352,185.2886199951172
1711473209.966365,884736,208.9292449951172
1711473222.211553,901120,232.89344787597656
1711473234.1002495,917504,232.54083251953125
1711473245.5089602,933888,235.00794982910156
1711473256.7791395,950272,238.29730224609375
1711473267.9209461,966656,230.24452209472656
1711473278.7158885,983040,230.36181640625
1711473289.7973738,999424,236.55465698242188
1711473300.5249119,1015808,243.2826385498047
