#{"t_start": 1711238486.2543008, "env_id": "LunarLander-v2"}
r,l,t
-173.362264,100,1.151647
-82.087366,78,1.43706
-268.15279,97,1.768714
-95.956529,97,2.08412
-229.278175,73,2.32772
-183.808443,71,2.561028
-267.47039,98,2.898087
-335.861772,96,3.285244
-115.50839,105,3.688343
-287.520897,120,4.161474
-98.943091,114,9.194653
-136.829755,112,9.648881
-403.306309,128,10.090434
-223.15366,103,10.483004
-80.34623,72,10.731989
-143.333962,72,11.039912
-195.105839,73,11.364274
-223.867723,141,11.982781
-55.105682,81,12.318055
-389.500392,81,12.603047
-271.78538,112,13.072469
-99.839443,110,18.135373
-75.131952,65,18.397707
-197.461752,94,18.789302
-90.927233,76,19.119251
-101.840975,78,19.447786
-77.717887,71,19.789938
-132.044191,80,20.154443
2.656764,65,20.455349
-93.567675,60,20.734517
-95.433582,66,20.970929
-90.767744,70,21.208046
-72.011532,76,21.462796
-125.231837,60,21.680956
-438.686586,145,26.667781
-2.757599,149,27.175385
-113.265522,78,27.436087
-79.954749,69,27.688714
-91.21855,72,27.94227
-80.2678,66,28.227002
-124.819528,61,28.449008
-99.077212,75,28.719023
-130.038658,72,28.982592
-75.421126,63,29.191046
-265.282226,144,29.691203
-82.798902,136,34.502467
-102.890968,66,34.797197
-141.672159,85,35.131106
-73.520325,67,35.401173
-61.870101,61,35.658628
-64.433011,71,36.04491
-74.184205,78,36.404644
-91.771429,86,36.79546
-102.863975,78,37.161796
-96.952418,105,37.661583
-69.286067,76,37.991708
-199.645617,122,38.467837
-72.234137,93,38.801712
-88.725255,84,43.750426
-70.37396,65,43.972747
-130.999541,107,44.340619
-58.129245,151,44.889614
-101.094812,111,45.298717
103.911444,1000,54.087513
-87.752764,106,54.497572
-100.03595,76,54.766606
-137.786577,144,55.2862
-99.231097,83,55.649122
-59.984969,79,55.977795
-70.727785,126,60.914339
-63.109545,116,61.409265
-54.50563,105,61.910454
-178.112898,115,62.392668
-85.64048,91,62.719735
-130.283561,103,63.100558
-96.876342,116,63.525358
-81.23554,79,63.823088
-45.637488,95,64.203727
-101.941236,111,64.624865
-77.221975,149,69.766026
-56.672958,128,70.317019
-52.612104,92,70.670126
-10.44487,92,71.042128
-76.805672,122,71.540425
-7.074658,103,71.916432
-94.593893,135,72.454152
-63.714087,88,72.826763
-70.102016,130,73.362355
-42.681266,90,78.101968
-6.530735,101,78.55923
-44.999057,139,79.133639
-34.974177,84,79.460341
-25.301902,137,79.991684
-26.853965,155,80.595191
-20.36271,96,81.019759
-24.943912,136,81.559936
-181.768881,110,86.303695
-37.017074,150,86.992302
-75.89065,110,87.629566
-46.32494,141,88.277491
-10.025064,102,88.806327
-13.501735,125,89.495404
11.567102,114,90.187335
-5.289921,130,91.13704
2.949369,112,91.809875
21.10385,144,97.101439
-10.995995,144,98.218823
-47.972794,163,99.348588
-15.196573,155,100.364655
13.083798,179,101.738379
108.555847,1000,113.670568
-35.779715,155,115.178822
6.105303,207,121.285093
-25.716165,176,122.732603
29.680333,1000,139.990525
-16.539963,1000,155.783254
87.516446,1000,173.515826
14.99154,242,176.954865
-46.569644,286,180.8907
-12.198711,243,184.100188
-4.12973,319,192.322873
39.653394,1000,208.339389
-33.448612,217,211.315885
37.033874,238,214.744229
78.211823,1000,232.798712
93.024486,1000,251.231189
160.125104,1000,270.543799
134.429702,1000,289.427717
154.965215,1000,307.819475
152.350471,692,321.008156
110.733766,1000,341.043392
145.044607,1000,360.177655
166.480817,1000,379.284702
130.005626,1000,398.382208
108.52077,1000,418.791935
154.187189,1000,438.987155
125.960555,1000,458.403229
113.790268,1000,477.558423
137.226399,1000,497.144667
104.563847,1000,511.831193
165.096039,1000,530.232664
232.95065,422,540.58368
26.583986,305,545.269147
99.593054,1000,564.413939
142.790523,1000,584.375525
117.028225,1000,604.043633
30.106517,328,609.09912
138.42411,1000,629.378144
99.070558,1000,649.025413
87.502916,1000,669.600706
25.622589,323,678.661399
166.232659,1000,698.665003
135.842374,1000,718.893632
155.126893,1000,740.375947
147.377731,1000,760.984879
160.140881,1000,781.066188
154.562767,1000,801.899419
141.147599,1000,822.45751
117.154712,1000,837.17917
115.002103,1000,856.110701
127.504659,1000,876.186434
167.045346,1000,895.368538
146.906359,1000,913.413034
114.356852,1000,931.382782
156.493374,1000,949.982342
165.672044,1000,968.17468
142.068195,1000,987.108792
136.952138,1000,1005.909831
30.218147,327,1013.614549
114.225571,1000,1031.55915
49.371176,263,1035.416217
123.761169,1000,1054.335385
255.937287,724,1068.743628
5.649022,307,1072.668464
29.609811,315,1077.348596
111.787028,1000,1093.941879
241.31211,523,1104.533888
275.599595,647,1111.892931
-1.351708,309,1120.348939
13.488143,289,1123.114158
12.545272,319,1126.150429
243.302576,596,1135.809541
234.995777,422,1139.969299
252.204765,375,1143.883512
233.731504,334,1151.330285
