#{"t_start": 1711472415.9626825, "env_id": "LunarLander-v2"}
r,l,t
-105.055133,57,0.838394
-82.37739,72,1.070552
-96.917761,75,1.316507
-101.344511,125,1.712966
-393.156786,94,2.011628
-77.910247,61,2.204159
-241.390632,114,2.572751
-206.239089,110,2.917635
-126.757957,75,3.153728
-167.251209,117,3.529891
-246.107561,101,3.877151
-201.726714,87,7.389983
-161.162861,99,7.70841
-148.796951,77,7.953754
-112.1195,94,8.244764
-113.234585,84,8.510256
-158.52334,105,8.844654
-166.365729,128,9.256803
-47.178122,72,9.470876
-210.719271,119,9.854039
-24.886679,121,10.237533
-153.968184,102,13.796531
-215.97674,135,14.230661
-110.335446,102,14.566224
-172.13767,132,14.992054
-70.587135,80,15.251534
-121.746825,87,15.528316
-132.115398,86,15.8019
-173.611665,125,16.212947
-58.260236,158,16.73059
-159.044373,81,20.24532
-155.501863,72,20.48841
-366.766248,130,20.910424
-121.310418,71,21.141096
-130.074682,99,21.463499
-99.653031,106,21.820167
-86.470796,71,22.049777
-230.38807,125,22.455736
25.853421,137,22.900988
-19.657293,112,23.271073
-309.891446,108,26.876765
-78.161101,113,27.250588
-73.474462,75,27.493738
-59.792058,108,27.848654
-105.329256,114,28.219917
-277.743943,98,28.545957
-85.32531,92,28.846374
-148.026466,79,29.102821
-116.188138,93,29.410841
-147.18569,80,29.671214
-124.448276,84,29.970248
-16.773284,69,30.19449
-87.051986,99,33.742054
-114.30478,80,33.997761
-59.66794,82,34.264888
-103.840022,111,34.637863
-102.549099,92,34.94931
-74.35277,69,35.179942
-129.028194,94,35.495866
-81.361516,74,35.738089
-58.742696,66,35.960331
-111.095481,92,36.258854
-90.025039,70,36.513184
-200.163691,111,40.090771
-67.061885,119,40.490454
-84.619792,103,40.823142
-105.154289,96,41.143832
-54.69136,122,41.552187
-106.524313,94,41.858372
-134.685198,88,42.153086
-97.666848,94,42.461561
-212.36125,79,42.721093
-129.470005,87,43.039485
-68.655519,75,43.284116
-98.251795,145,46.966708
-51.827208,95,47.279948
-63.811901,130,47.72466
-83.060613,108,48.081899
-77.21532,80,48.345925
-61.288473,82,48.628106
-0.9757,111,49.003375
-74.730961,110,49.364325
-115.460352,102,49.743649
0.930206,82,50.013852
-26.397382,70,53.443527
-71.832528,75,53.699764
-80.701556,102,54.047348
-102.096609,88,54.358217
-18.532775,95,54.678659
-83.20202,133,55.139945
-33.743782,116,55.535308
-33.779284,84,55.826067
-70.832094,82,56.108972
-72.805423,116,56.543974
-50.152447,69,56.778415
-17.736444,100,60.336767
-63.42981,82,60.620199
1.684109,98,60.970507
-84.569724,117,61.400227
1.44214,135,61.892295
-38.926053,100,62.250268
-47.45179,108,62.636189
4.328955,131,63.135196
12.413838,111,63.562785
-42.808881,84,67.158795
-86.451761,165,67.821544
-16.548331,131,68.319076
-2.140062,131,68.807673
56.932025,1000,76.452217
-9.772628,155,77.122652
-87.452126,106,77.60729
-14.245269,138,78.270467
-22.844119,133,78.89419
-100.658072,149,82.725314
29.297264,135,83.306765
-0.129769,116,83.828974
-7.455794,163,84.626325
14.736806,133,85.31955
-27.340754,136,86.096013
2.240392,122,86.849053
19.954822,167,91.036446
16.638974,159,91.894996
-34.254986,127,92.67116
-75.873815,192,94.054973
-24.037751,100,94.800237
-13.356178,86,95.429859
1.42196,175,97.004811
31.330338,152,98.377866
1.780732,135,102.799848
19.25343,165,104.194145
22.56696,190,106.086652
-22.889491,171,107.495982
-5.139757,183,109.085528
14.615063,165,110.777915
-52.286727,215,115.97904
101.446949,1000,132.028872
-91.291999,204,134.03706
-190.990801,360,137.19504
10.82534,175,139.431769
12.950527,1000,157.203182
-189.286495,194,163.291764
-117.506743,411,170.141486
-113.3849,270,173.402151
-165.908301,526,182.803667
80.314687,1000,199.510441
-61.99286,232,202.842966
103.620352,1000,219.957433
91.943569,1000,237.990022
120.927267,1000,255.292266
94.393072,1000,272.359356
150.803516,1000,290.650275
73.375563,1000,310.860556
44.481339,1000,329.237852
116.485137,1000,346.802432
133.627287,1000,366.174272
136.220627,1000,385.128291
114.847785,1000,403.522387
114.631008,1000,420.671147
116.789831,1000,440.211157
128.293413,1000,458.13237
131.957496,1000,476.075948
-26.240255,496,482.723995
110.877307,1000,502.090026
142.426582,1000,519.197624
151.703996,1000,538.093853
120.943043,1000,555.993145
113.091503,1000,573.745217
124.436055,1000,590.548813
140.243137,1000,607.116179
19.748616,304,610.590893
141.520456,1000,626.927759
103.185208,1000,643.503751
130.224854,1000,660.709294
160.286897,1000,678.143863
121.828343,1000,695.021255
114.248749,1000,712.237315
118.971628,1000,728.887281
258.127504,385,733.329089
214.842467,738,747.05731
139.176207,1000,762.508256
226.716847,501,771.265919
252.383967,385,776.438341
227.638879,408,780.453633
275.096214,388,787.381092
54.044463,330,790.319598
225.43224,508,797.815595
251.044367,718,803.984283
229.753062,370,810.632943
258.122003,348,813.737772
230.603101,351,816.531111
257.420765,351,822.687792
241.734472,386,825.7104
231.71304,378,828.620792
249.802537,442,835.47606
258.360517,344,838.207166
230.788927,373,844.221274
4.081139,279,846.297408
276.203861,381,849.424381
214.570857,347,855.259352
278.944187,362,858.022601
255.389558,392,860.807081
256.816321,366,866.821182
246.177137,411,869.89788
248.615367,411,873.091874
244.294654,366,879.068022
271.363625,361,881.785409
281.366358,308,884.005627
