#{"t_start": 1711472415.9581192, "env_id": "LunarLander-v2"}
r,l,t
-311.364335,105,0.999695
-185.77179,62,1.192473
-244.948907,119,1.57931
-137.103373,91,1.8706
-109.250194,79,2.122938
-102.026861,88,2.39833
-407.688975,134,2.826789
-139.934818,97,3.131747
-225.499864,117,3.509179
-0.439901,86,3.776845
-218.874399,117,7.415905
-57.787566,65,7.62342
-120.262906,94,7.923967
-95.929468,90,8.204247
-112.133906,111,8.555749
-82.124435,109,8.901265
-27.005879,88,9.179987
-111.611664,71,9.400893
-316.919908,88,9.678124
-152.956156,112,10.039605
-114.738661,67,10.252911
-112.125441,101,13.807559
-105.835543,96,14.110858
-100.238116,100,14.441711
-100.258238,98,14.755479
-123.024968,110,15.11746
-127.275835,100,15.432424
-90.069038,71,15.665909
-149.359072,106,16.004406
-133.264351,93,16.316215
-152.069434,115,16.688107
-124.693876,152,20.445272
-106.101489,75,20.68884
-189.956888,116,21.064298
-78.830994,93,21.362618
-110.668131,104,21.716511
-73.753067,109,22.071237
-100.481435,92,22.361537
-79.256957,101,22.695797
-85.374876,142,23.172217
-63.433797,62,23.395007
-93.377561,90,26.91326
-40.376178,76,27.161432
-105.134965,107,27.514456
-87.489239,69,27.73331
-76.668199,127,28.151778
32.003668,153,28.663187
-214.707398,119,29.047762
-73.562446,72,29.287014
-24.591673,111,29.648414
-87.555454,106,30.019109
-73.012383,100,33.563366
-6.736907,80,33.831485
-95.319078,111,34.18827
-107.244486,88,34.484294
-127.376381,86,34.774109
-74.138298,89,35.064881
-53.839121,73,35.308812
-265.124314,112,35.687561
-95.605167,72,35.923333
-109.260069,85,36.20324
-59.682124,128,36.665795
-67.431235,82,40.132433
-76.466283,91,40.433811
-121.118361,69,40.660879
-80.55967,101,41.006051
-100.830371,86,41.287051
-93.825261,91,41.586956
-125.653531,134,42.030868
-32.768947,68,42.250252
-121.16118,122,42.653163
-32.117919,91,42.982583
-87.298813,96,43.299299
-84.670741,110,46.859942
-30.655594,87,47.154585
-1.155207,127,47.578661
-65.63178,82,47.860318
-49.332706,124,48.264959
-70.655689,105,48.625179
-69.601637,86,48.918428
-35.635282,115,49.300984
-86.23396,64,49.541725
-51.331554,86,49.832414
-101.328212,85,50.106975
-54.557457,128,53.747841
-7.234985,77,54.005317
-69.509368,101,54.361596
-51.960765,124,54.786433
-30.928303,127,55.221426
-36.455746,111,55.601931
-86.07626,96,55.936371
-103.897077,84,56.253428
-48.336631,79,56.530465
-70.792103,118,60.13734
-42.592814,106,60.505332
-38.210016,133,60.985803
-22.689865,105,61.364751
4.02091,115,61.78529
-19.537321,85,62.09355
-48.024778,98,62.445765
-6.154138,111,62.834812
31.312578,117,63.302647
-33.24942,118,63.769148
-50.220439,101,67.444127
0.179962,157,68.050122
-48.472172,116,68.486538
15.587301,167,69.110803
-39.577823,112,69.538076
-21.603718,84,69.871784
-52.611492,92,70.290228
-27.811999,110,70.750948
-81.551006,104,71.194885
-27.308869,101,74.85275
-82.286327,125,75.437356
-44.300412,125,76.082114
-25.013716,94,76.567456
11.360178,97,76.992326
-92.432188,150,77.667415
-88.971751,96,78.138784
-25.836316,95,78.573607
18.292279,96,79.032171
-48.662352,164,82.916667
-45.722322,142,83.532856
-6.40618,87,83.932623
5.544751,147,84.662319
-146.327712,190,85.673855
-32.228528,123,86.410237
18.144214,155,87.369649
-12.97803,161,91.436739
26.690131,142,92.262962
-67.494064,143,93.198712
35.036818,166,94.463145
14.699959,154,95.60539
21.012365,159,97.024599
-32.504331,129,98.184485
56.425414,1000,110.494143
33.530779,1000,125.239592
-52.100381,165,130.816906
26.989777,177,133.142792
13.345416,1000,148.447555
-70.489807,298,152.667242
14.072244,148,154.380228
15.620214,205,157.340282
-0.542561,146,162.688797
42.187943,1000,176.351475
-30.38316,223,182.502193
46.757791,206,185.389409
52.949617,1000,202.163496
104.220939,1000,219.245862
-51.814269,242,222.805418
86.472005,1000,241.100212
108.768635,1000,257.770503
104.049426,1000,274.933941
84.60712,1000,293.619796
111.303205,1000,313.615334
125.078399,1000,331.906451
90.29909,1000,349.573357
77.659511,1000,368.965008
115.178209,1000,387.646235
63.020296,1000,405.955765
115.968729,1000,423.442163
91.828032,1000,443.119473
121.79667,1000,460.963136
69.489926,1000,478.826225
132.104753,1000,498.071177
103.98955,1000,515.462354
108.946608,1000,533.85382
98.68425,1000,552.239993
101.036196,1000,569.905536
106.149671,1000,586.355465
149.663276,1000,603.144082
103.849074,1000,619.372423
120.152184,1000,635.43286
123.740356,1000,651.885942
134.533828,1000,668.978848
242.123971,866,681.62605
112.19159,1000,698.466723
132.657452,1000,715.536334
133.158383,1000,731.6975
247.539086,857,746.960705
254.117272,586,757.607567
225.708551,456,762.917046
17.691174,352,766.762706
278.368895,647,777.966118
223.79757,479,785.980912
251.359605,375,789.325023
247.030276,424,792.795041
237.628545,357,799.165428
265.224414,367,802.315006
127.87967,1000,814.31008
249.222609,355,817.204321
240.607625,364,823.529666
272.381025,359,826.272527
242.51505,338,828.886134
279.25017,378,835.221995
273.360712,391,838.311909
231.944441,351,844.15459
254.548201,731,849.910072
245.471943,362,855.835704
223.446905,347,858.484715
209.208158,366,861.087886
217.68494,364,867.084976
241.713906,377,869.89974
212.638065,340,872.491354
246.37033,317,878.165267
261.191239,358,880.808161
257.150006,375,883.59851
