#{"t_start": 1711472415.9668286, "env_id": "LunarLander-v2"}
r,l,t
-346.513493,97,0.96581
-250.369856,115,1.339107
-161.770674,68,1.552366
-142.021687,105,1.890049
-245.486565,72,2.119613
-20.422163,121,2.50517
-244.741345,136,2.934433
-379.929439,77,3.176301
-328.871306,82,3.442681
-306.498542,102,3.759644
-225.413869,99,7.341893
-70.030004,125,7.742216
-41.147856,65,7.950865
-279.06478,93,8.237539
-47.915233,124,8.63464
-86.2227,81,8.886733
-286.744546,109,9.238871
-105.64689,85,9.495166
-106.668227,128,9.908868
-217.823808,105,10.241365
-319.102147,117,13.851185
-79.2084,140,14.300516
-286.629051,116,14.674981
-105.175117,93,14.978414
-219.64051,89,15.267114
-110.949465,85,15.538224
-278.747197,136,15.974935
-161.791076,132,16.412392
-99.116847,113,16.811634
-93.854666,118,20.42345
-119.179148,78,20.677697
-60.037979,125,21.082903
-113.575204,179,21.674445
-121.137115,70,21.903461
-67.086244,69,22.127891
-144.270858,93,22.427596
-57.871519,74,22.669433
-182.646544,119,23.059671
-127.391448,139,23.553241
-68.806827,122,27.16929
-24.733919,115,27.548459
-58.222757,113,27.912982
-167.916784,112,28.282427
-118.648905,131,28.716675
-119.6325,100,29.040776
-94.609828,90,29.339109
-196.755036,103,29.674704
-239.570109,80,29.959546
-76.394092,86,33.458875
-121.676672,119,33.852632
-78.4688,119,34.235798
-55.594729,78,34.500509
-333.209219,104,34.852048
-64.390466,89,35.144872
-137.68741,104,35.496335
-47.456718,74,35.738445
-121.678015,82,36.015723
-77.550027,60,36.206559
-136.665834,103,36.573464
-93.894508,75,36.825954
-64.15293,96,40.345377
-50.860347,88,40.636885
-85.653255,65,40.852597
-77.176305,109,41.218425
-14.043458,120,41.617259
-11.302381,114,41.992279
-93.613937,94,42.297478
-37.668273,69,42.524882
-36.27662,92,42.825554
-96.320787,95,43.174039
-85.508842,89,43.457978
-59.21304,109,47.031984
-62.448322,120,47.429911
-76.344935,75,47.686681
-84.480125,95,48.001325
-21.126729,154,48.527477
-84.839322,101,48.861699
-45.239366,108,49.222563
-67.759984,106,49.602404
-73.670802,115,49.99059
-75.321819,63,53.392196
-56.433717,130,53.845131
-61.658268,91,54.164786
-40.659105,91,54.474866
-61.521938,100,54.814527
1.282722,82,55.096173
-87.295919,95,55.421845
-61.836806,87,55.717716
-94.225001,78,55.988228
-65.422431,141,56.508955
-56.522394,78,56.775521
-42.218995,99,60.329092
-17.032336,89,60.638108
-46.435198,114,61.045744
-29.285146,116,61.472952
3.914474,137,61.971989
-76.386266,126,62.421109
-57.413096,129,62.874521
-72.019033,147,63.460262
-65.184812,116,67.18319
20.011985,102,67.603977
-21.344742,152,68.179199
18.224147,122,68.638222
-19.727948,139,69.158936
-6.357306,93,69.514804
-60.725714,91,69.876853
-17.576889,111,70.369461
5.252786,149,70.998237
-25.860198,103,74.666688
14.027655,162,75.410211
-6.197162,114,75.995579
-18.600216,89,76.477934
-135.515286,181,77.267378
-49.366868,145,77.956893
-24.282045,77,78.317477
12.434044,139,78.968996
33.897446,1000,87.255202
13.252092,112,91.072366
-16.744823,187,92.11833
-85.472326,133,92.949586
6.513621,125,93.859189
37.689274,163,95.069499
10.547784,175,96.567166
8.755268,120,97.63031
-60.953136,132,102.060093
-102.092564,223,103.967551
-144.912603,314,106.935236
53.526509,1000,119.799092
-31.404926,245,123.006199
-55.439098,149,125.299317
-17.00917,146,130.597035
-76.574044,208,133.300424
-71.282465,198,134.741066
77.085841,1000,151.576276
56.170919,1000,169.638706
39.930029,1000,185.209894
-43.233809,317,189.712392
101.03598,1000,206.59877
56.474291,1000,223.654636
124.029425,1000,241.991134
149.419827,771,255.633051
121.619971,1000,272.744562
109.933896,1000,291.098885
104.576292,1000,311.280438
91.239671,1000,329.648752
109.483238,1000,347.244515
117.485963,1000,366.619763
144.72278,1000,385.533133
65.560338,1000,403.917922
125.485097,1000,421.081257
-2.12676,314,425.218755
130.569092,1000,444.84541
106.224028,1000,462.77616
145.010102,1000,480.605326
167.483323,1000,500.091677
106.554723,1000,517.240662
121.334828,1000,535.92559
137.026248,1000,554.022964
117.453426,1000,571.815231
118.756454,1000,588.445942
135.438281,1000,605.171919
132.544812,1000,621.363148
156.118409,1000,637.492064
145.91571,1000,654.094649
151.697417,1000,671.07162
141.781922,1000,688.674013
134.908778,1000,705.912564
102.397175,1000,722.769903
127.246383,1000,738.501739
146.677652,1000,755.956392
94.760598,1000,770.358388
202.180626,588,777.726416
251.042756,386,781.563885
251.567622,377,788.206016
42.571792,261,790.469871
221.918234,381,793.592677
250.218375,343,799.689447
246.191388,455,803.739912
224.374391,390,810.548782
251.776525,374,813.862713
-4.327455,319,816.400927
233.793954,347,822.506052
238.561728,415,825.79903
254.570171,377,828.70121
253.547608,387,835.121476
261.556287,336,837.741903
236.252893,370,840.581615
290.067023,350,846.412491
251.865995,372,849.464442
230.59018,331,851.941644
252.494896,332,857.694988
275.909847,334,860.071887
280.324922,343,862.625732
273.477135,366,868.565051
274.188826,322,871.109903
253.007926,359,877.096018
268.860893,373,879.833993
281.4063,405,882.868368
