#{"t_start": 1711238486.2460897, "env_id": "LunarLander-v2"}
r,l,t
-151.37687,132,1.260594
-394.261096,128,1.722313
-540.090274,147,2.2115
-68.972092,72,2.446423
-112.246581,63,2.656886
-277.755683,97,3.010042
-129.65793,74,3.302948
-161.693469,106,3.712549
-331.360158,97,4.106681
-117.15059,75,4.39011
-404.265715,99,9.389308
-431.281406,100,9.750217
-165.047173,101,10.105391
-370.839069,122,10.56608
-109.18696,68,10.798112
-236.27388,151,11.477861
-76.152909,75,11.817555
-138.610678,102,12.228143
-92.942854,84,12.543271
-100.979417,114,13.016368
-149.88935,57,17.876631
-162.00992,88,18.211901
-185.71584,103,18.634946
-108.423914,114,19.12579
-80.669353,85,19.492481
-152.683505,103,19.970565
-152.61281,61,20.261766
-100.487681,70,20.577306
-182.585011,125,21.063757
-76.377386,152,21.576832
-318.373698,91,21.919196
-115.650937,101,26.732875
-243.683588,123,27.151193
-115.272938,73,27.391606
29.268168,91,27.725197
-116.56872,88,28.062231
-84.396563,98,28.436637
-86.964675,91,28.774649
-101.774965,57,28.977321
-133.582273,68,29.202319
-77.75666,68,29.433771
-278.277472,100,29.810868
-64.148176,67,30.052665
-117.880457,76,34.675585
-198.563249,162,35.309118
-95.879321,73,35.607947
-137.171548,100,36.145725
-193.467382,100,36.584414
-97.787418,66,36.893672
-63.824895,64,37.191144
-78.102293,65,37.497865
-97.284138,76,37.854264
-85.311052,79,38.158839
-85.883058,72,38.451683
-113.292824,87,38.766447
-75.427376,74,43.680104
-128.513464,101,44.02906
-44.968353,101,44.377902
-75.412617,82,44.672938
-170.71818,141,45.194655
-95.207436,89,45.510613
-307.575826,131,45.997965
-56.90375,77,46.306056
-86.757488,109,46.785376
-97.979303,78,47.146451
-51.569656,91,52.030222
-111.727481,98,52.462807
-139.234539,99,52.920308
-141.161143,112,53.413487
-69.73748,80,53.764428
-74.090538,103,54.263857
-194.248519,119,54.678104
-228.245658,105,55.057951
-89.315314,85,55.359051
-118.711977,114,55.863246
-91.255452,85,60.604217
-47.292311,76,60.944804
-55.866064,132,61.520159
-86.902708,111,62.042932
-88.335031,115,62.501755
-39.09381,112,62.907391
-100.214163,91,63.238299
-81.549185,95,63.589164
-119.262698,119,64.064407
-23.337368,120,64.515437
-63.123566,99,69.453422
-30.372875,89,69.804589
-6.689283,136,70.387025
-69.432058,100,70.764651
-65.754873,142,71.348874
-46.953176,105,71.759238
-85.102305,118,72.192803
-36.458173,121,72.719335
-35.989723,90,73.091866
-27.597926,119,77.90944
5.365515,141,78.565436
-58.794021,114,79.042865
-5.605624,144,79.613305
-48.155669,124,80.087966
-68.636793,146,80.650421
-49.585118,91,81.065375
-44.551441,201,81.85461
6.533643,131,86.702992
-73.407428,148,87.557836
10.170547,157,88.273903
-16.317469,129,88.940612
23.060541,113,89.57585
9.496968,139,90.491237
-71.784059,139,91.462114
-14.280925,142,96.689631
-47.688305,160,97.832392
-6.21,124,98.800402
33.68147,158,99.777148
-27.817384,153,100.870465
11.7562,207,102.444249
-10.538754,169,107.826571
18.867891,158,108.641847
-151.081737,321,111.078829
39.868794,129,112.208706
-38.553911,229,114.680164
2.573588,189,120.628239
101.299553,1000,132.874765
-90.007556,233,139.821134
37.969515,208,141.892263
-85.07035,189,143.802911
-41.002709,236,146.428241
51.408927,184,153.189633
48.969014,1000,166.245589
77.722007,1000,184.546618
-76.520237,212,191.565571
-76.704356,265,193.94729
-107.828218,241,196.627815
-43.4273,214,199.230264
31.926666,253,206.904901
125.457599,1000,225.52171
89.880816,1000,243.55808
-209.413189,183,246.031106
-186.362557,303,250.288124
207.461585,906,268.389982
147.485439,1000,287.036293
8.027977,230,290.149088
147.170386,1000,308.607858
178.54621,1000,326.375643
154.478903,1000,346.753734
81.741845,1000,365.278648
141.832738,1000,384.477534
81.367063,1000,404.02002
121.022117,1000,424.978205
107.94993,1000,444.74051
129.035298,1000,463.704348
104.882127,1000,483.37466
125.639278,1000,503.123119
134.552505,1000,521.61091
152.433351,1000,539.858574
140.959191,1000,559.040098
195.319512,296,563.337543
139.10686,1000,583.439291
-8.673141,238,586.77769
110.477435,1000,606.828525
146.504526,1000,626.680361
144.186208,1000,646.948598
92.037502,1000,667.121094
29.454905,366,677.335541
88.718034,1000,697.339035
106.006468,1000,717.339414
120.296819,1000,734.559993
109.36928,1000,755.105465
139.506184,1000,775.144314
139.272269,1000,795.811208
108.041886,1000,816.658202
-26.868006,239,823.957276
120.535624,1000,843.173663
138.334311,1000,862.390322
145.865132,1000,882.247517
170.816455,1000,901.2611
124.499498,1000,919.394164
162.543378,1000,932.827829
176.477737,1000,951.424004
147.66046,1000,969.647291
132.649043,1000,988.692945
143.243911,1000,1007.179851
184.33422,1000,1025.005316
179.587416,1000,1044.14728
236.557072,884,1061.249083
152.280692,1000,1078.408148
242.347332,369,1087.578552
218.594325,615,1094.602898
249.529889,571,1105.524257
302.88588,338,1109.620225
250.208168,531,1120.593866
273.773235,391,1124.544966
261.073669,343,1127.609107
236.191544,356,1134.995811
265.167327,349,1138.173124
226.426846,399,1142.403405
32.928174,302,1149.824387
14.495463,335,1152.808702
4.455458,326,1156.165809
253.707976,380,1164.367101
260.425971,380,1168.426769
266.847819,352,1171.935652
101.498772,1000,1186.469367
219.823701,426,1194.631314
239.927183,338,1197.729239
301.613141,433,1205.53845
20.775873,265,1208.09475
268.597921,410,1211.979441
249.703876,378,1219.677561
258.955485,296,1222.32405
273.733076,362,1225.656072
246.935748,350,1232.752373
261.773313,367,1236.140916
70.767919,273,1238.412821
278.399609,608,1248.423897
260.121445,333,1251.033147
294.798032,301,1253.806991
218.155736,414,1262.027861
286.778313,394,1264.884782
270.715897,358,1272.222527
264.344279,466,1276.707593
247.978829,311,1279.421894
280.621428,341,1286.394659
229.844569,699,1292.132681
258.255817,330,1299.655563
-20.111962,223,1301.6312
263.262895,315,1304.496003
212.300164,554,1314.216166
270.567679,269,1316.514405
266.135188,372,1319.525629
275.329098,302,1326.593528
251.958044,307,1329.0805
259.696984,329,1331.728979
288.49009,308,1338.631135
258.777923,297,1341.287515
306.975992,391,1344.489102
243.740527,319,1351.048688
266.20997,286,1353.019725
256.64138,308,1355.665811
233.10628,303,1357.804425
271.015899,298,1364.366541
255.121618,320,1366.708673
293.599556,290,1369.015663
281.34985,510,1377.077307
286.904875,318,1379.114343
286.80452,307,1381.129223
286.554616,257,1387.38617
267.367957,323,1389.455984
256.629358,289,1391.270813
49.246188,263,1393.153408
232.730473,307,1399.978939
229.749633,313,1402.155595
249.500787,354,1404.653246
264.006424,280,1411.02126
251.251329,308,1413.007172
224.600992,279,1415.055188
254.880141,312,1422.141886
234.3824,301,1424.366683
285.952406,290,1426.202824
269.659864,388,1433.153771
292.664647,318,1435.287463
270.777463,308,1437.199284
253.732271,362,1443.99342
261.27645,288,1445.740422
279.162483,257,1447.422114
291.673919,286,1449.326913
296.141934,324,1456.057392
258.477561,281,1457.905972
300.073307,275,1459.695373
267.714512,325,1461.946783
273.280128,342,1468.383358
254.084449,314,1470.408653
241.595451,283,1472.14061
269.816598,315,1479.149025
301.312909,289,1481.080522
221.445601,276,1482.830302
290.001681,277,1488.89928
70.175961,277,1490.838804
278.194133,307,1492.961337
264.275417,302,1495.033791
241.056817,306,1501.406463
231.017861,280,1503.117741
259.459035,311,1505.17475
286.925437,324,1511.391804
234.320421,283,1513.227179
282.35195,277,1515.071852
222.480227,287,1516.970595
59.038566,224,1522.766652
258.866319,297,1524.726525
274.922186,310,1527.024101
228.572554,331,1533.794205
247.87745,308,1536.174099
246.882587,274,1538.053604
229.193883,369,1540.623776
307.264571,267,1546.328904
258.80768,302,1548.171998
281.935467,302,1550.066113
272.265369,252,1555.868914
67.203066,208,1557.199983
267.314585,294,1558.957969
250.065768,286,1560.699538
266.77898,266,1566.488251
266.154196,310,1568.588168
279.646337,242,1570.345354
277.38401,283,1572.508853
274.933654,255,1578.491122
262.441869,281,1580.102898
