#{"t_start": 1711472415.9602444, "env_id": "LunarLander-v2"}
r,l,t
-121.894319,128,1.069135
-266.649548,81,1.335008
-107.482522,80,1.586981
-109.42514,85,1.858445
-133.849452,82,2.121666
-107.02538,82,2.376467
-255.198796,107,2.721278
-345.830278,92,3.014085
-120.953882,69,3.227276
-98.641987,83,3.497846
-326.993126,111,3.844438
-99.353912,61,7.305694
-134.988783,129,7.720799
-261.902661,101,8.041436
-277.6268,122,8.417275
-73.775675,79,8.676047
-114.039496,92,8.960591
33.27146,92,9.26229
-142.319077,115,9.612059
-70.539711,81,9.876067
-33.417127,118,10.251665
-92.578808,64,13.686612
-94.030774,63,13.89447
-211.541721,121,14.279146
-116.689164,79,14.538324
-104.99396,92,14.832477
-231.314461,115,15.20735
-153.245996,101,15.529865
-79.966469,79,15.780838
-247.820007,101,16.108032
-69.368802,65,16.330808
-93.606996,65,16.539175
-237.263207,93,16.878111
-105.213998,92,20.402474
-143.760583,121,20.794073
-110.547962,102,21.127509
-107.419154,95,21.435859
-100.275606,126,21.859633
-58.181585,108,22.204956
-69.957005,93,22.514857
-104.073893,99,22.829422
-130.839909,90,23.135649
-104.249833,142,23.631296
-306.97405,132,27.282984
-78.456674,83,27.553644
-128.273496,124,27.955261
-150.286265,128,28.37982
-187.269012,97,28.699352
-90.594858,68,28.922433
-120.114927,75,29.164718
-84.423468,89,29.458176
-98.76961,61,29.656765
-87.522188,68,29.903645
-81.55116,106,33.468633
-25.413281,96,33.787804
-111.649181,79,34.0402
-102.19627,118,34.432753
-100.031827,115,34.822052
-123.707558,104,35.16546
-67.27364,109,35.532801
-65.797915,122,35.933424
-83.391728,85,36.21162
-121.56513,97,36.558093
-63.688233,62,36.771661
-81.774878,66,40.190859
-98.438732,94,40.505675
-67.692058,148,41.000662
-78.80344,75,41.245056
-159.123696,112,41.615879
-62.765262,69,41.835531
-90.481665,107,42.193898
-79.020391,74,42.436339
-108.389831,95,42.748799
-82.989142,127,43.200067
-44.20362,94,46.703587
-57.222259,124,47.124201
-68.273827,68,47.345895
-71.688268,84,47.631607
-81.327919,98,47.961305
-39.996466,77,48.212699
-17.823139,80,48.49568
-72.298,100,48.82362
0.365348,74,49.07158
-67.911417,124,49.515761
-85.958205,131,49.95628
-50.186232,122,53.56251
-76.907251,98,53.898125
-72.233574,103,54.254972
-50.127535,84,54.546687
-63.374576,85,54.838026
-51.012981,124,55.262654
-28.270423,126,55.691237
-106.458711,102,56.045937
-42.50183,81,56.353839
-85.113373,130,56.80681
-47.206453,95,60.346313
-15.809685,99,60.690456
-66.744504,140,61.191042
-64.782388,103,61.570518
-52.282289,103,61.95004
-47.021842,117,62.364668
11.377151,138,62.851462
-12.176388,79,63.177
-29.420149,145,63.742428
-7.215253,98,67.402725
-15.192664,106,67.819143
-116.570289,123,68.285186
2.592573,137,68.797902
8.791116,158,69.397953
-2.170515,88,69.744205
-43.092,95,70.162345
-16.980807,132,70.716026
15.533615,109,71.179062
-16.401986,83,74.757303
3.701639,147,75.44105
-66.16111,134,76.13573
-9.364773,139,76.800495
-55.785454,143,77.443211
-21.432922,137,78.099026
-33.846526,88,78.502014
-50.731055,141,79.167708
-34.858965,117,82.842001
-18.040604,85,83.213473
-1.344151,222,84.225244
4.093491,143,84.949892
-15.03346,139,85.706156
16.300923,115,86.39537
-113.545188,144,87.299261
-25.472928,172,91.424273
20.92709,118,92.108549
-68.86834,177,93.255573
-28.51679,121,94.160966
-101.275627,233,95.959398
42.492578,117,97.023433
49.77706,106,97.961312
-2.010923,128,102.358976
36.794708,1000,114.700098
19.127332,145,116.028447
-6.451072,196,117.903362
59.813791,1000,134.015538
-161.487738,434,138.063288
28.417643,162,140.265022
-38.192385,194,146.535061
-85.546037,277,150.990296
-13.968391,244,154.008527
73.559396,1000,172.420082
-31.696231,168,174.049986
80.005785,1000,190.302866
-32.500716,183,192.482381
76.420486,1000,209.553077
-20.745489,232,215.895074
81.374543,1000,233.412759
94.380949,1000,251.508279
97.349405,1000,267.900162
167.707316,1000,285.560786
117.645634,1000,305.426242
13.883345,410,312.853962
104.550884,1000,331.20216
127.319389,1000,348.828389
114.174633,1000,368.244711
76.676765,1000,386.980112
112.125149,1000,405.318509
131.408543,1000,422.637563
82.755175,1000,442.300995
73.269981,1000,460.120069
120.280779,1000,478.063164
113.87558,1000,497.176097
144.565812,1000,514.67142
126.771228,1000,533.039869
142.455227,1000,551.496624
134.588449,1000,569.087636
245.576452,734,578.513865
8.887032,336,586.495627
-8.816378,331,590.964342
135.027682,1000,607.496045
137.185984,1000,623.686718
-2.31182,307,627.459785
147.107832,1000,644.034661
137.557188,1000,661.283754
121.559692,1000,678.758782
120.450913,1000,695.547466
223.358003,928,711.861239
146.781938,1000,728.524183
239.636102,583,738.634626
125.991185,1000,756.075656
140.904097,1000,770.488686
250.685777,497,776.922436
249.689579,547,785.613117
240.237634,378,789.015054
269.683989,420,792.491749
249.992118,345,798.754495
240.68848,371,801.820332
230.816417,385,805.208802
253.005427,377,811.973688
238.779442,411,815.284852
267.532289,395,821.762949
224.015844,384,824.842336
221.460468,333,827.389989
239.840945,348,833.58981
247.641221,390,836.604517
241.715373,425,839.93648
24.041962,252,845.002083
239.855366,369,847.838637
267.095814,359,850.772816
237.547188,361,856.703784
284.260453,345,859.222674
237.490168,358,861.826696
273.718095,347,867.66672
241.67008,330,870.157834
250.640371,350,872.892297
266.47469,393,879.092832
232.716502,346,881.700141
248.979949,309,883.934657
