#{"t_start": 1711238486.2608163, "env_id": "LunarLander-v2"}
r,l,t
-105.201447,69,1.041384
-346.837698,99,1.38677
-251.014997,77,1.659198
-305.50333,66,1.88364
-249.902037,107,2.235653
-113.17039,70,2.461993
-69.966686,67,2.692561
-184.155019,65,2.917702
-475.705129,103,3.322731
-92.772425,84,3.645659
-234.524848,68,3.94072
-133.560507,78,4.212429
-115.236123,83,9.133283
-127.815938,117,9.613305
-287.404314,93,9.931098
-198.649393,85,10.228028
-94.91876,83,10.557205
-185.807956,73,10.809889
-93.404663,83,11.185149
-131.231911,108,11.685852
-45.448279,140,12.258499
-189.454195,167,12.893224
-91.625708,66,17.815515
-213.838029,86,18.141493
-163.930674,89,18.507918
-93.074214,114,18.984126
-118.402262,86,19.349742
-107.726665,96,19.802529
-41.121263,72,20.127177
-96.586749,61,20.412801
-46.533029,63,20.707015
-271.049781,96,21.054977
-76.579837,81,21.323212
-51.249109,70,21.564468
-87.592675,68,21.829998
-153.0753,80,26.570445
-236.786398,100,26.906952
-99.803672,65,27.130433
-101.225264,106,27.490563
-231.769879,80,27.783177
-199.97198,95,28.156298
-78.796839,134,28.646903
-122.249769,85,28.964598
-69.581872,129,29.39809
-47.126813,128,29.873686
-238.792979,102,34.56446
-99.247404,94,34.945582
-143.742316,93,35.317152
-129.439462,111,35.820555
-122.004238,96,36.301642
-112.848627,119,36.846204
-120.812653,60,37.124133
-125.942669,110,37.647026
-86.296385,68,37.945959
-153.055872,100,38.314834
-99.162837,104,38.71862
-96.590033,74,43.637334
-92.874293,95,43.963242
-136.331642,111,44.345531
-56.647392,81,44.638928
-49.437306,88,44.975974
-83.119674,61,45.189361
-111.705663,74,45.453562
-54.310797,127,45.921028
-69.38093,112,46.371852
-34.578029,66,46.636149
-113.753937,89,47.059078
14.803787,131,52.131774
-48.992605,77,52.473063
-31.620729,74,52.81987
-99.248692,107,53.292395
-77.056632,110,53.781798
-181.633389,78,54.162145
-107.297957,114,54.57762
-89.830036,86,54.884337
-114.853913,102,55.249758
-241.623308,128,55.796053
-30.032038,69,56.070632
-97.331899,90,60.875206
-83.088697,101,61.289235
-60.852223,137,61.945687
-124.14208,112,62.40664
-61.902331,75,62.672934
-54.236388,72,62.938493
-60.797224,134,63.434545
-48.018604,110,63.848148
-72.895725,130,64.361419
-53.118967,130,69.413619
-81.884106,84,69.745952
-78.733201,112,70.233918
-37.628822,103,70.632919
-55.36764,120,71.112888
-129.1727,141,71.672461
-120.149631,132,72.156852
-130.758561,142,72.762738
-46.946744,108,73.203908
-67.182695,116,78.039024
-9.630849,167,78.779902
-33.784398,147,79.373539
-19.228777,128,79.873627
-39.271966,121,80.334375
24.835275,187,81.133378
-70.940986,74,81.419138
-29.291143,110,81.85438
-15.905451,142,86.746131
4.769505,146,87.597524
-1.340677,110,88.095803
31.38098,98,88.583274
51.315988,187,89.61032
