#{"t_start": 1711472415.9700277, "env_id": "LunarLander-v2"}
r,l,t
-127.60303,113,1.016525
-69.515081,93,1.316753
-169.697382,128,1.723643
-125.480106,106,2.060993
30.384871,99,2.371692
-126.774239,105,2.709078
-116.020193,95,3.012175
-224.324915,120,3.395202
-132.514767,67,3.603035
-312.724604,94,3.932552
-5.7477,83,7.429039
-107.386442,77,7.677926
-88.520948,74,7.914505
-236.196102,105,8.241724
-101.294015,60,8.428114
-221.856536,102,8.756336
-124.606947,57,8.932775
-89.251903,105,9.27375
-151.816941,96,9.565058
-198.471622,111,9.926002
-245.594109,127,10.358386
-50.434536,95,13.869372
-94.676876,78,14.111091
-118.664459,101,14.445154
-81.581825,112,14.804026
-116.221255,66,15.020154
-257.083404,93,15.321016
-185.084966,78,15.573218
-120.062777,118,15.949085
-94.072114,77,16.202766
-58.056306,102,16.538234
-152.044159,92,16.873341
-193.239345,128,20.512892
-69.398133,97,20.828129
-90.272651,125,21.231275
-92.630659,133,21.679744
-70.962654,67,21.897115
-81.240012,74,22.13728
-91.5883,68,22.352087
-53.7658,60,22.556104
-97.396918,99,22.873985
-79.834995,72,23.120102
-165.413854,132,23.58269
-96.152393,124,27.207385
-181.90233,91,27.504744
-92.660814,84,27.778266
-100.033253,61,27.975035
-114.644022,114,28.353976
-52.616026,70,28.587177
-36.355831,122,28.982249
-128.10414,119,29.375217
-100.958128,80,29.634341
-91.859507,112,30.025479
-89.484435,71,33.477139
-97.113885,95,33.792619
-124.030456,86,34.069083
-95.078473,73,34.305501
-71.149618,123,34.719524
-135.045331,114,35.100133
-73.217691,88,35.391598
-74.155867,80,35.663343
-70.401107,98,35.991531
-47.01089,95,36.299457
-208.85549,91,36.640187
-53.693123,97,40.155698
-96.674501,103,40.500918
-43.998617,134,40.946129
-137.272184,77,41.198037
-135.558473,82,41.46747
-81.311645,76,41.718304
-76.475045,74,41.963306
-94.759847,77,42.217809
-138.634856,123,42.622649
-76.49777,105,42.99895
-139.933315,116,43.375193
-100.556191,117,46.971766
-45.045823,93,47.277553
-95.647767,75,47.532214
-93.812854,125,47.953525
-67.2125,125,48.369872
-76.443576,79,48.638209
-51.328798,71,48.882352
-41.132341,104,49.227144
-21.175021,77,49.511157
-92.943083,77,49.773501
-57.70848,87,50.05827
-74.082641,112,53.634153
-26.049137,138,54.112616
-30.101835,98,54.455717
-61.601147,78,54.716037
-101.677421,88,55.020823
-61.262635,111,55.402594
-66.123295,84,55.68722
-83.157032,106,56.055516
-69.326186,83,56.370125
-50.974166,100,56.715652
-46.677121,113,60.318352
-8.781993,135,60.795524
-31.284216,79,61.075823
-41.797699,89,61.406265
-73.646174,78,61.680282
-14.536054,118,62.113648
-25.240519,86,62.422127
-34.333714,81,62.709881
-61.251834,129,63.211524
-56.913133,105,63.614573
25.406664,165,67.555532
2.462116,123,68.020893
-46.888801,130,68.510553
-48.261333,78,68.802167
-13.92822,127,69.280748
-33.443509,85,69.607893
-57.444312,139,70.213931
41.568301,100,70.621036
-32.867844,112,71.09995
-50.076894,115,74.820459
-4.860965,122,75.385888
-16.471719,115,75.975681
6.555658,146,76.697875
16.980281,120,77.232362
-58.542616,137,77.850862
-41.322462,107,78.379391
-48.788645,138,79.031047
3.28748,97,82.634554
-60.873245,131,83.196972
-37.709128,105,83.656801
26.462107,100,84.125558
26.792088,115,84.703966
-79.319193,145,85.466088
-93.544346,147,86.332243
40.654621,120,87.081276
-39.425259,127,91.015979
10.773389,1000,98.429787
-22.873897,108,102.627711
-29.49224,130,103.684034
-102.483079,213,105.756153
-25.185496,188,107.371639
-16.097297,117,108.344401
13.909988,179,110.066738
-19.828668,191,115.117945
2.053244,141,116.46154
-9.14442,175,118.148413
52.426885,1000,134.174284
-114.852341,288,136.59401
46.699142,158,138.500725
94.456796,1000,156.161632
-83.455347,245,163.011606
-58.540058,192,166.307861
95.933046,1000,182.366507
72.92469,1000,199.022701
-12.556254,186,201.718792
5.328287,152,203.891268
113.285678,1000,220.999119
29.878451,1000,239.10342
-64.887683,223,242.512101
-36.462171,264,245.928926
-5.844615,257,252.782866
-32.125815,251,256.13616
111.512805,1000,273.304754
119.664277,1000,291.732033
125.716296,1000,311.899088
95.966868,1000,330.24351
106.076321,1000,347.8554
39.026869,1000,367.250102
57.644159,1000,386.10072
131.783356,1000,404.469158
108.216109,1000,421.684157
105.424106,1000,441.291711
94.464664,1000,459.133392
88.807779,1000,477.09111
158.172518,1000,496.088957
105.819659,1000,513.748369
102.670839,1000,532.047706
117.665908,1000,550.607135
121.707579,1000,568.133668
130.750472,1000,581.301936
134.636599,1000,598.069835
160.143546,1000,614.344029
155.476376,1000,630.446445
143.776269,1000,646.878706
156.976847,1000,664.102179
117.223333,1000,681.737409
126.639244,1000,698.58864
