#{"t_start": 1711238486.2529979, "env_id": "LunarLander-v2"}
r,l,t
-249.19873,92,1.125382
-320.514105,132,1.594954
-227.684589,89,1.897558
-218.251507,69,2.1219
-93.877443,82,2.389705
-277.480933,100,2.729333
-283.64716,61,2.947028
-314.333821,115,3.387879
-92.839643,80,3.71145
-180.773567,78,4.04123
-389.715138,113,4.519305
-204.103691,70,9.344113
-145.420157,81,9.654722
-346.148992,114,10.041094
-71.912729,62,10.266642
-118.361476,106,10.665754
-214.962981,117,11.151846
-171.993197,150,11.826301
-122.701527,107,12.263904
-90.654775,86,12.575448
-134.227909,78,12.88794
-220.083508,132,18.063141
-122.20443,75,18.35601
-71.501213,65,18.623749
-103.620863,61,18.882053
-122.715857,106,19.333795
-134.152675,105,19.827615
-95.480647,96,20.274258
-107.569092,64,20.561441
11.208521,125,21.050275
-83.420426,56,21.237869
-146.398305,76,21.491006
-126.977976,87,21.824944
-68.284427,65,26.515456
-116.156519,70,26.753284
-129.985297,121,27.166008
-119.716265,120,27.587289
-131.180327,71,27.832147
-184.559745,103,28.25557
-92.47955,87,28.565979
-70.698953,89,28.897862
-169.493402,144,29.380556
-143.245561,94,29.710884
-162.076469,154,34.632378
-184.089765,98,35.011827
-152.803447,110,35.456874
-92.402035,97,35.923804
-125.585936,121,36.495286
-155.163048,97,36.945782
-79.990798,69,37.259118
-133.277471,102,37.754713
-68.49836,73,38.051277
-154.994923,94,38.428373
-73.42174,103,38.799006
-184.887208,98,43.793918
-76.084108,71,44.04002
-82.029557,76,44.297856
-88.995615,76,44.578219
-1.168251,109,44.987361
-82.322499,108,45.371035
-68.252342,87,45.685179
-147.18579,100,46.05652
-26.951334,81,46.390762
-90.758068,72,46.677949
-55.946402,110,47.218334
-87.381447,109,52.176681
-94.949858,140,52.809106
-24.691016,133,53.398412
-58.1135,73,53.714574
-71.692536,93,54.173913
-64.905681,77,54.458143
-95.471351,111,54.85266
-70.725776,80,55.140878
-2.224464,83,55.432875
-81.552333,87,55.837745
-33.164663,114,60.715618
-53.644902,84,61.050896
-41.560721,159,61.800882
-35.419432,113,62.277134
-61.262672,131,62.777969
-54.254966,89,63.105731
0.748038,80,63.401109
-98.164975,87,63.718608
-3.240084,133,64.248848
-34.786362,105,64.648825
-51.21638,116,69.659989
-36.735751,149,70.293003
-51.656145,79,70.598467
-96.452555,109,71.030466
-113.695168,107,71.460279
-26.730064,117,71.90255
-51.085346,115,72.323787
-64.833452,168,73.066636
22.992296,193,78.251444
