#{"t_start": 1711472415.9616404, "env_id": "LunarLander-v2"}
r,l,t
-132.940382,67,0.872065
-129.524308,129,1.290037
-158.898526,100,1.607175
-172.89623,74,1.842928
-492.506984,107,2.184057
-140.333716,90,2.470758
-222.325743,99,2.785635
-341.795443,91,3.073008
-89.449896,105,3.412325
-415.132889,87,3.683117
-148.289356,77,7.197271
-29.425012,108,7.534298
-122.419162,135,7.97242
-101.23735,66,8.172812
-272.950171,112,8.527474
-125.165192,80,8.78222
-108.003008,75,9.011858
-95.073276,74,9.261534
-192.495719,137,9.682705
-110.943354,73,9.920433
-277.350778,106,10.257441
-140.062262,60,13.678642
-65.593508,64,13.88981
-294.921617,125,14.288425
-111.834036,83,14.560331
-115.015409,69,14.778098
-176.964771,95,15.090471
-45.055609,78,15.341206
-341.530821,99,15.659309
-125.86805,94,15.959998
-337.828513,121,16.362742
-382.467707,97,16.674493
-110.040828,109,20.283913
-99.254637,76,20.536534
-104.145394,82,20.802761
-141.85935,93,21.107016
-101.221492,66,21.31589
-123.876027,156,21.841815
-127.828613,119,22.222365
-58.762821,77,22.478845
-127.66353,90,22.764073
-305.511778,115,23.154988
-153.273289,97,23.498537
-71.802162,75,26.961417
-132.819361,105,27.310575
-96.742102,71,27.541728
-218.739696,103,27.876758
-81.119437,82,28.141514
-97.957592,109,28.506244
-101.513756,92,28.806154
-52.526761,130,29.233077
-125.400579,108,29.584713
-101.832519,75,29.857813
-380.978701,114,33.4447
-106.484595,92,33.753414
-61.848434,116,34.127743
-38.39355,118,34.521946
-103.605524,73,34.766493
-99.03605,101,35.099453
-53.674669,96,35.420245
-66.805931,76,35.677657
-121.756674,97,36.002443
-116.798229,104,36.33847
-114.763387,107,36.727508
-90.550747,118,40.317825
-46.584563,71,40.55657
-96.547992,101,40.891331
-85.944889,122,41.296545
-80.923549,76,41.545813
-77.988417,81,41.806982
-120.952475,114,42.188891
-115.230353,110,42.548917
-59.813888,102,42.884131
-56.098296,94,43.227681
-87.43011,79,46.68051
-53.548225,128,47.116079
-47.005773,110,47.482944
-82.608382,94,47.80518
-80.311707,78,48.058381
-75.755163,121,48.47299
-38.420829,107,48.826644
-66.676192,95,49.142797
-54.598643,75,49.391411
-70.701128,85,49.712333
-34.920407,77,49.969443
-78.523249,89,53.462114
-55.286975,113,53.853309
-33.827537,95,54.185185
-55.971603,126,54.610785
-90.98057,126,55.046309
-49.529577,93,55.365043
-69.64036,73,55.612914
-22.533949,77,55.881453
-24.918785,112,56.294645
-79.624731,101,56.645126
-39.252422,122,60.271839
-18.587924,111,60.664187
-25.952279,90,60.987123
-62.410406,122,61.435726
-63.786252,117,61.857378
-15.692266,111,62.259954
-36.655639,114,62.66679
-79.89068,74,62.953406
10.911253,96,63.315238
-38.959785,107,63.736492
-20.455347,110,67.45012
-6.021948,118,67.902116
4.415715,158,68.503514
-44.10391,108,68.907049
17.854777,136,69.423116
-34.44997,105,69.8333
-38.318132,136,70.426171
-31.073661,124,70.952112
-59.1787,130,74.733828
-41.364622,81,75.095425
-48.529738,95,75.556661
-88.143837,138,76.288105
-14.853544,124,76.860102
-18.676284,154,77.554123
-36.960267,134,78.195499
-5.762208,123,78.764944
-2.344519,103,79.239573
-36.143061,163,83.118021
-22.818978,132,83.700145
-131.606963,156,84.445673
-37.695544,178,85.374324
-94.440075,154,86.267491
-54.618523,174,87.351145
-43.964986,199,91.623717
26.537538,1000,102.695157
1.414087,146,103.896955
93.069336,1000,116.411933
41.320008,1000,132.568194
-43.016163,205,134.323972
-7.572727,1000,150.711127
2.205734,1000,168.660879
-16.77779,195,171.549245
-66.210711,210,173.796506
10.798423,263,179.82651
80.624866,1000,193.151228
2.750829,193,199.055069
38.202977,1000,216.097204
6.445929,188,218.849314
89.513834,1000,236.842964
-22.16465,234,240.521489
84.865352,1000,257.341057
-28.774355,339,261.380302
104.311139,1000,278.683822
91.87175,1000,298.097037
33.311582,1000,317.420015
109.830313,1000,335.327731
-22.638539,450,345.882225
114.583049,1000,365.21407
157.261505,1000,384.258322
90.260298,1000,402.680545
16.127549,329,406.814302
126.70842,1000,424.461249
105.10468,1000,444.121208
122.881969,1000,462.057877
77.794268,1000,479.838796
91.56498,1000,499.269516
166.286582,1000,516.480765
116.789886,1000,535.130513
159.657086,1000,553.315138
82.510359,1000,571.039394
151.391478,1000,587.546048
126.770633,1000,604.316902
120.907468,1000,620.539792
-19.840735,342,624.606952
110.461802,1000,641.082613
162.186164,1000,658.073637
138.680628,1000,675.218737
238.822772,561,683.20635
104.527888,1000,700.228844
124.482135,1000,717.240189
136.766424,1000,733.267936
114.746681,1000,750.618022
231.836898,764,762.762656
231.799278,414,770.55597
244.376065,424,776.096124
241.881513,538,781.621525
277.836622,356,788.05428
245.055451,411,791.62587
224.257146,419,798.443524
135.880359,1000,810.400522
282.153804,367,813.687522
94.041011,1000,824.925684
251.930237,396,827.944663
271.860429,359,834.248121
252.025139,371,837.116936
262.375415,404,840.265712
286.572827,398,846.447284
271.503597,380,849.563177
258.353956,365,855.528488
296.554026,315,857.934573
212.706618,350,860.418275
282.601888,338,866.190681
8.778309,311,868.457577
276.744376,322,870.999307
286.386726,396,877.27334
217.643,330,879.681275
257.673245,347,882.282524
248.56826,313,884.523879
