#{"t_start": 1711238486.2568896, "env_id": "LunarLander-v2"}
r,l,t
-189.058262,73,1.058927
-104.962118,95,1.389102
-72.405694,69,1.636747
-112.472984,81,1.911336
-315.240536,64,2.119403
-301.413277,98,2.440812
-94.184136,60,2.639539
-157.254221,62,2.855653
-83.596553,70,3.141542
-111.733374,87,3.447383
-325.529017,108,3.906983
-94.978588,85,4.212238
-141.091187,128,9.335547
-331.875046,84,9.658955
-127.337377,80,9.927337
-99.380777,74,10.189692
-198.546055,116,10.631038
-195.3559,89,10.975141
-256.288996,130,11.569297
-132.807357,99,11.987725
-105.224047,61,12.238427
-89.577358,73,12.509909
-156.636939,80,12.822399
-235.350014,116,17.935685
-58.995871,99,18.317205
-116.963842,76,18.633711
-94.61896,82,18.981766
-186.933112,122,19.524501
-97.287858,73,19.858855
-121.705366,80,20.233697
-124.70173,106,20.718895
-114.201844,90,21.042797
-123.473882,84,21.322833
-62.573275,89,21.639062
-179.76853,110,26.504694
-338.33378,95,26.824721
-89.129232,79,27.094904
-127.595861,100,27.434369
-46.330997,69,27.687153
-123.047445,83,27.991366
-38.804577,78,28.31225
-118.704941,95,28.646113
-143.124698,82,28.953825
-123.50948,98,29.281684
57.651212,1000,37.889267
-61.78432,83,38.196824
-72.563482,78,38.507915
-123.002528,111,43.566287
-161.693675,130,44.011321
-25.647241,135,44.485195
-91.429062,115,44.901809
-76.9284,105,45.287443
-169.07353,92,45.617107
-85.217031,126,46.090374
-77.629168,128,46.614012
-93.290938,85,47.009974
-77.64205,67,47.327567
-51.7738,66,52.101722
-77.107146,100,52.554341
-66.600345,71,52.877576
-73.391499,92,53.280328
-78.870475,114,53.790221
24.209152,117,54.323253
-44.499712,71,54.569661
-47.573232,120,54.99962
-93.374163,75,55.268155
-91.426334,75,55.593485
-61.966063,78,55.923002
-90.392336,101,60.753073
-94.439318,105,61.16966
-86.790202,77,61.541552
-57.544266,134,62.134483
-7.754911,71,62.438713
-63.431008,157,63.008442
-73.806378,86,63.325114
-82.202863,140,63.850735
-105.675323,112,64.297337
-103.316757,94,64.653674
-1.682686,94,69.576358
-94.263821,104,69.973472
-71.529125,118,70.491571
-84.105612,126,70.989211
-57.097391,132,71.530285
-54.684727,74,71.799869
-50.992951,94,72.144336
-28.886208,82,72.527579
-46.076471,89,72.885075
-42.643238,101,73.28588
6.544616,108,78.100798
-62.610731,79,78.469208
-113.805061,140,79.048843
-6.535583,97,79.423136
-26.597315,82,79.752204
-49.876669,99,80.132925
-11.81183,106,80.540568
-35.681719,135,81.128621
-5.90645,78,81.430814
7.896955,121,86.219207
-40.910857,79,86.546412
-43.431059,147,87.332669
-53.531166,119,87.917799
-24.729988,128,88.5338
5.551928,173,89.47541
9.302246,166,90.56518
-27.956425,122,91.419448
-16.634126,113,96.478346
-44.997928,138,97.389324
-24.939188,115,98.284643
-39.867198,133,99.204518
-27.392087,200,100.556884
9.864107,121,101.424812
-15.293187,104,102.236768
-44.116109,133,103.186792
-6.092485,184,108.452467
9.960478,190,109.715484
-31.201443,227,111.560186
30.05371,113,112.630595
-9.18213,111,113.919423
-62.267708,213,115.861647
73.012221,1000,132.222059
59.055586,1000,147.532542
-0.97765,299,155.785284
-90.373701,216,158.325779
-138.339415,185,160.589543
151.772398,1000,179.366382
15.356678,266,182.713615
-7.150424,232,190.203511
0.034622,192,192.333387
-49.773722,156,193.670568
-10.48778,217,195.919913
68.98005,1000,213.595755
108.873511,1000,231.66222
75.965878,1000,250.16947
111.059704,1000,269.593338
113.935949,1000,288.368337
123.070007,1000,306.618578
22.829258,274,310.125458
-1.155275,276,318.10552
79.831701,1000,333.073868
125.409935,1000,352.786301
168.066785,1000,371.594452
