#{"t_start": 1711467608.4050174, "env_id": "LunarLander-v2"}
r,l,t
-106.538358,87,0.255857
-74.494566,62,0.409293
-26.899426,94,0.670943
61.596743,1000,4.63394
-121.537295,206,5.389385
-254.051849,178,6.037736
8.770645,137,6.54227
7.671437,193,7.432917
-202.104572,150,8.031724
-167.365025,209,8.96068
-40.264869,227,10.062629
-25.836556,162,10.848747
-259.898129,229,12.0481
-65.439802,293,13.449829
-186.167032,278,14.691961
9.735468,213,15.776371
-148.737559,390,17.786284
-230.146759,193,18.504459
-28.872377,193,19.256322
-124.433721,144,19.813467
-3.03176,155,20.347202
-194.334087,351,21.913689
-54.235215,164,22.919331
11.896693,263,24.420705
-234.850957,231,25.609142
-228.698143,328,26.977987
126.81891,1000,31.721973
-195.518474,332,33.156273
-12.049269,171,33.906359
-135.858185,197,34.797779
-64.121401,212,35.87876
-72.113383,294,37.161792
-218.18901,297,38.356113
-80.616662,273,39.512378
126.601686,1000,45.323455
-161.141192,256,46.727494
20.411326,263,48.432615
30.211595,95,48.926778
-176.090611,139,49.686654
-13.040679,412,51.628287
-237.197708,296,53.144597
246.47369,335,54.686407
112.277355,981,59.872635
-28.761002,116,60.460703
43.808462,1000,66.213463
-124.560638,181,67.194656
295.091984,712,72.421989
-290.427332,211,73.484603
-123.516863,143,74.246779
-9.572798,389,76.207757
206.317704,580,79.537476
305.985698,197,80.583771
-104.774015,366,82.775043
293.881133,504,85.35808
214.424922,619,88.806492
-48.547059,310,90.451329
-55.116895,274,92.260774
-14.600797,160,93.166343
191.337988,430,95.588179
-4.281187,212,96.665622
-31.678683,327,98.591837
49.514046,162,99.278672
201.706679,547,102.612333
-135.533859,144,103.558972
258.992723,385,105.867368
-43.959951,214,106.915342
43.247811,188,107.696385
-26.06478,214,108.878823
5.323853,213,110.0449
-12.948116,218,111.281631
-35.63335,190,112.288717
-3.483351,155,113.047754
-30.284405,319,114.523916
22.043716,152,115.13412
-15.258267,184,115.994227
17.780619,90,116.357738
26.775344,147,116.890762
-7.604102,259,117.960774
18.559659,88,118.409872
11.604316,277,119.909648
8.496393,197,121.104971
178.629112,630,124.46342
-48.543163,311,125.874284
58.492491,167,126.705353
235.457879,526,130.137188
-5.986634,145,131.261428
236.64744,362,134.248741
-42.699704,94,134.733227
-27.888214,430,136.925784
-42.591856,381,139.204573
166.57374,628,143.313889
-10.964935,97,143.818344
30.148283,147,144.632774
-53.106677,477,148.4062
-109.631383,67,148.930166
225.241296,359,151.709412
-124.540397,491,154.899353
211.059572,407,158.965225
-27.796996,89,159.526238
192.79099,360,162.087304
180.843044,741,169.105351
-58.552692,96,169.655801
-44.053367,295,171.671618
116.31642,951,180.343115
217.379582,524,183.967457
-36.026507,140,184.871529
7.097136,1000,192.571297
59.455679,1000,202.560369
209.982169,312,204.938177
-20.217779,108,205.484583
18.749931,161,206.175142
-17.163575,208,207.057779
189.379943,344,208.591502
-40.72347,89,208.926405
-32.1692,176,209.687469
-42.388426,131,210.270002
-59.094347,136,210.88898
70.213218,103,211.350513
-209.419727,103,211.856375
-47.669746,217,212.868243
-49.478399,134,213.331793
46.556172,82,213.607174
-78.602621,73,213.889589
-39.775092,120,214.270219
-60.731845,92,214.540817
-122.229076,112,214.867647
-65.403436,71,215.075507
-32.308753,78,215.300333
-45.328031,119,215.64454
-132.678087,75,215.8547
-43.936287,110,216.170492
18.705087,152,216.611833
-69.524859,73,216.841072
168.952454,217,217.478249
-89.005129,134,217.859989
-64.93522,72,218.073249
-45.97211,82,218.312708
-133.464861,99,218.647224
23.607091,93,218.992685
103.378833,1000,224.555832
-18.105523,1000,232.955418
-95.804865,1000,244.598175
-89.453044,1000,255.718649
155.33519,861,263.12534
-58.74915,1000,273.378625
-55.060534,1000,283.835674
-47.837807,1000,293.414878
-7.278796,1000,303.975541
-97.755575,932,311.901041
-81.772907,856,319.865689
303.982063,266,321.492547
-46.478267,281,323.238551
138.727243,447,326.823255
238.323541,445,330.297042
-58.682361,211,331.834977
-70.831647,150,332.757124
-32.697816,75,333.138145
-225.592085,990,339.405535
15.066141,117,340.038395
-27.602155,90,340.528751
-33.308638,125,341.044139
2.128678,125,341.485379
13.265259,102,341.819398
229.576599,281,342.655876
-41.62733,64,342.823455
-57.205538,111,343.120619
4.95576,92,343.361606
-46.495409,100,343.623417
-32.331812,91,343.865822
4.825112,89,344.103908
-32.195609,75,344.313653
-40.185189,106,344.612471
-11.54514,78,344.822537
-16.096554,71,345.029243
-39.936565,73,345.237881
34.85228,125,345.570905
-83.439016,97,345.829669
10.814707,86,346.057123
-23.122893,75,346.242911
216.852472,211,346.827291
28.426576,98,347.0863
-74.034476,91,347.31992
10.306538,80,347.527923
-70.30117,88,347.77373
-7.981616,109,348.051051
-34.625212,94,348.289274
-2.323411,106,348.562407
-6.705061,92,348.802092
34.250351,102,349.074828
14.072284,118,349.389678
13.9131,141,349.763637
-10.152972,118,350.083961
18.774778,165,350.58261
60.869048,99,350.890518
19.773908,77,351.126926
2.273081,89,351.4245
-18.193873,113,351.793621
236.013128,213,352.44273
-15.951999,103,352.721293
0.867303,114,353.027833
62.444761,128,353.437209
-31.055727,109,353.856764
32.2564,155,354.447142
0.984828,125,354.896716
-31.652907,152,355.389032
-25.605825,131,355.835413
229.495777,196,356.751834
-2.668616,125,357.532735
-51.46349,1000,363.229111
-29.784314,192,364.831869
180.447493,346,367.59141
181.5969,350,370.480569
-49.131092,1000,381.176567
-50.533581,1000,392.338133
-66.00269,1000,403.935467
-114.931034,424,408.74422
-88.037195,423,412.065562
-131.465875,287,413.528472
-168.791002,276,414.898189
-67.029765,162,415.670608
-142.610166,252,416.640891
-130.937064,277,417.968465
-91.167036,132,418.550518
-123.385214,135,419.126522
-115.896256,333,420.502483
-112.444623,117,420.938407
-129.375797,193,421.725459
-106.018131,133,422.384055
-104.108158,305,424.007653
-150.875355,241,424.956892
-119.592645,359,426.699158
-100.719296,415,429.919716
-84.360395,1000,440.513419
-187.111024,960,449.187023
-98.180134,1000,458.766977
-88.81818,1000,469.040447
-42.49017,1000,479.080387
-102.823957,1000,490.232481
-86.019725,1000,500.513185
-55.058731,1000,510.627978
-165.271295,617,517.126817
-22.609445,1000,527.666147
-14.154018,1000,540.945985
-60.544856,1000,551.750584
-30.484651,1000,562.304359
-1.426676,1000,574.633899
-20.070507,1000,586.036026
124.813128,911,597.937016
-39.899765,1000,610.441375
-65.281702,1000,621.006211
-52.441979,1000,632.608273
-116.697699,1000,643.890336
-36.158491,1000,654.210044
-44.749153,1000,665.235118
-12.622704,1000,676.302363
-38.235654,1000,688.359363
-119.228124,1000,698.790785
-67.216438,1000,710.131509
-94.911998,1000,721.085537
-37.096852,1000,733.991672
-35.10234,1000,745.502049
-69.28039,1000,754.945803
-39.551794,1000,766.235864
-54.416575,1000,776.614812
-14.978332,1000,786.117759
8.352644,1000,798.212033
-44.487026,1000,809.090139
-38.185795,1000,819.326957
-81.265099,1000,829.874439
-163.146102,1000,841.179793
-20.654402,1000,851.353188
-78.699342,1000,862.664952
-128.579301,418,867.981149
175.562815,581,873.317892
-63.067482,1000,882.714852
-152.692662,380,886.545793
-126.243406,244,888.422569
-153.447345,513,892.793473
-112.678072,1000,901.825257
-67.763656,340,905.231921
-102.116158,538,910.234782
-107.213329,305,912.437367
-187.254758,740,918.62091
-66.66443,1000,928.797006
-133.840327,531,933.257788
-29.350631,1000,942.641559
-56.588293,1000,953.149883
-60.748926,210,954.913044
-8.385606,1000,966.000886
-72.203539,1000,977.431212
-75.907403,1000,988.705891
-197.598035,743,996.215215
-64.127062,1000,1006.044777
-109.732774,344,1008.755077
-54.695477,1000,1018.194752
-21.459738,1000,1028.890634
-37.332633,1000,1039.666774
