#{"t_start": 1711467608.4028609, "env_id": "LunarLander-v2"}
r,l,t
-92.360694,64,0.191437
-118.253505,98,0.447909
-67.233459,129,0.813519
-269.467354,135,1.231998
-279.171388,114,1.66553
-294.247149,238,2.597683
-175.119803,200,3.430312
3.929627,148,4.07808
-98.49179,308,5.331688
-159.103193,239,6.217345
-172.695422,135,6.721362
-47.047356,222,7.736723
-178.530258,146,8.326076
-224.17882,233,9.388532
-94.578834,382,11.296292
-25.93472,247,12.542144
38.559983,1000,17.492831
-62.043413,269,18.532591
-237.433408,194,19.288916
-18.188141,169,19.920193
157.39416,1000,24.982132
-78.88956,157,25.718014
-223.252316,205,26.562088
-222.969012,145,27.198864
-15.419686,388,29.052361
-24.778162,358,30.729164
30.315357,218,31.773415
41.378449,236,32.741058
-151.910029,138,33.431719
-228.498695,207,34.307667
-219.428992,358,36.073153
-87.429095,286,37.284498
-241.050724,257,38.317467
-124.048897,151,38.893491
-161.584279,234,40.026256
29.925581,171,41.030189
-182.389634,202,42.361767
-52.258092,265,43.876593
11.629144,157,44.703616
-137.798242,145,45.523496
120.553744,1000,50.910685
-168.466896,211,52.045992
28.139739,337,53.783834
-169.455004,206,54.686527
33.349473,224,55.699825
10.756455,280,57.069924
-51.253417,152,57.819177
132.453259,1000,63.609313
-53.516734,335,65.607664
205.293254,921,72.056768
-28.182315,362,73.898686
-67.349892,259,75.161491
-18.744961,249,76.431862
-63.929924,495,79.295964
65.282264,115,79.962675
73.714975,1000,85.420955
36.535447,119,85.949592
232.778712,420,88.380585
-156.794077,210,89.51859
-93.269927,146,90.300497
0.969459,208,91.633876
-223.003947,362,93.772948
-286.130699,395,96.049843
-75.361266,435,98.46626
241.076629,386,100.392479
1.107538,142,101.203461
-41.914524,175,102.402478
227.329902,489,105.565946
-9.510263,198,106.481044
259.096337,266,107.655761
-0.440516,320,109.368678
-53.599447,293,111.111449
29.934019,152,111.808175
-289.008605,257,113.166821
-137.242934,171,113.948455
-27.557564,430,115.850042
-164.150654,202,116.647649
-45.848484,215,117.508928
-35.66853,194,118.386668
174.366707,544,121.538709
181.570692,600,124.662939
123.182177,614,127.869495
208.314312,754,133.489541
12.624427,258,135.025459
-18.485954,198,136.01829
210.156511,514,138.966585
249.745159,692,143.435601
-4.746638,1000,150.914514
29.560987,1000,158.722479
15.599484,1000,167.504706
51.38469,229,169.195291
-38.743442,1000,177.063833
-29.421477,103,178.097639
24.391798,1000,185.58373
-33.749936,92,186.066388
-0.224218,1000,194.827991
64.35997,1000,204.324281
0.2474,257,205.657403
38.927852,104,206.103776
-23.939421,81,206.433979
-66.372481,167,207.179517
-104.257014,163,207.96831
-59.10906,127,208.471769
50.172702,1000,212.93802
-70.919784,83,213.212734
-33.057254,162,213.790673
-61.589041,147,214.269203
-129.151229,63,214.45384
-22.836682,128,214.828332
-13.695571,118,215.177825
-28.049838,129,215.542423
-11.28094,95,215.810185
-37.684834,148,216.237709
-70.51339,78,216.465029
-49.553041,135,216.874274
-80.388021,130,217.254284
-38.989546,129,217.636274
-12.221128,77,217.848096
-14.925675,109,218.168897
36.155464,126,218.5756
13.045451,142,219.090461
142.699845,1000,224.741543
-71.539177,1000,233.210344
-109.093225,1000,245.042881
-84.091119,1000,256.01808
203.196726,494,259.474775
-78.378768,1000,269.788074
-68.925345,1000,280.178493
-28.551102,1000,289.627072
-60.196796,1000,299.974035
-33.229429,1000,309.395791
-50.367557,1000,318.774216
61.714815,138,319.950975
-182.786313,899,326.121631
21.770407,141,327.288805
-25.792468,110,328.080868
-13.045747,123,329.127234
-125.912076,465,332.456259
-39.117023,122,333.114058
-48.655878,153,334.00841
217.178205,257,335.472603
-33.215908,77,335.962468
-9.540218,70,336.433896
-33.514091,108,337.255186
-11.615553,101,338.006508
218.255171,200,339.221207
159.907284,283,340.731669
-20.810045,107,341.170195
-39.183977,86,341.452459
-46.77867,107,341.805347
3.778997,82,342.028714
10.925245,114,342.389417
-4.315198,90,342.656768
8.319268,91,342.897953
-6.858466,93,343.147907
-30.075104,78,343.349849
20.282951,82,343.568945
-8.43692,77,343.768228
-43.259064,97,344.028974
-38.817106,119,344.354092
-60.374029,68,344.557358
-45.52074,89,344.793242
9.653273,79,345.018059
-6.128314,101,345.30624
-11.836939,93,345.551288
5.791891,99,345.816579
24.209109,112,346.110677
-67.138758,83,346.321275
1.899494,98,346.585005
-67.406792,108,346.887061
-42.113954,96,347.141815
-50.943119,69,347.319361
22.919802,86,347.543136
-19.722994,74,347.735105
-48.212097,91,347.981804
10.134716,99,348.22967
42.120468,80,348.435488
31.51141,99,348.699485
28.639416,83,348.915844
14.173023,89,349.149554
54.371782,97,349.413788
-12.053258,99,349.672137
6.871567,155,350.096313
-13.762728,133,350.489974
42.093884,96,350.791848
18.115971,129,351.195118
14.497753,101,351.534845
24.093194,118,351.906603
-24.078793,104,352.222549
55.705069,102,352.529908
-2.395918,122,352.852081
-1.267311,124,353.209325
63.237271,120,353.638121
274.143876,219,354.474617
279.640207,202,355.17432
242.416264,213,355.886724
226.843462,200,356.857327
191.015667,715,360.761055
-29.406251,181,361.783368
-51.098226,1000,369.752288
-97.252783,440,374.05541
143.43789,719,381.837215
-35.280868,1000,393.034264
-84.125801,1000,404.641211
-136.532029,640,411.290479
-75.972305,211,412.443619
-65.41369,206,413.447125
-65.505512,160,414.255703
-136.505595,203,415.26657
-73.175577,152,415.881543
-83.886477,169,416.553116
-96.078546,335,418.147358
-110.467423,196,419.001745
-152.141344,219,419.81405
-181.334175,227,420.786645
-146.362347,250,421.788518
-115.320361,323,423.556053
-108.577155,174,424.277631
-103.281934,342,425.774672
126.245744,834,432.259954
-83.035278,1000,442.941787
-58.898519,1000,451.964082
-89.904089,1000,461.183128
-51.034373,1000,471.691732
-86.413052,1000,481.917419
-29.9374,1000,493.145262
-92.335945,1000,503.590056
-40.790196,1000,514.130447
-57.964387,1000,524.68363
-66.130783,1000,537.070812
-20.555895,1000,548.571613
-8.504176,1000,558.848741
-87.792642,1000,571.046566
-41.960638,1000,582.982692
-53.546133,1000,595.834198
-60.181505,1000,608.362367
-58.226372,1000,619.127615
-75.988866,1000,630.18632
-72.231444,1000,641.839859
-89.039041,1000,652.236495
-117.583451,1000,662.787539
-52.680188,1000,674.084985
-21.401608,1000,685.877867
-91.322855,1000,696.804576
-42.635212,1000,707.896101
-50.578159,1000,718.892347
-91.057251,1000,731.250035
-50.703606,1000,743.406635
-19.600131,1000,753.123636
-44.925854,1000,764.026981
-55.464574,1000,774.319623
-64.254407,1000,784.55771
8.463185,1000,795.852449
-59.069446,1000,807.216872
-25.529269,1000,816.848979
34.050954,633,822.054768
-91.397524,1000,834.129244
-84.439106,359,837.869578
-63.689307,1000,848.436003
-79.289678,1000,859.773971
-193.635691,689,868.149594
-126.354333,393,871.709238
-198.972988,513,876.661609
-58.929256,1000,886.093056
-46.067931,1000,894.489679
-182.50924,733,901.286038
-72.192981,1000,910.610846
-51.835008,193,912.045521
-67.125377,153,913.122407
-66.065463,284,915.573006
-43.102055,1000,925.614349
-80.783066,1000,934.122074
-58.673026,156,935.152619
-120.366789,320,938.027797
-63.932599,1000,947.862187
-96.334303,1000,959.263461
-77.182622,1000,970.030798
-67.941845,1000,981.474429
-69.766116,1000,992.401109
-32.979416,1000,1002.598675
-69.91569,266,1005.307644
7.647073,1000,1014.538861
-121.984816,1000,1023.75226
-89.524554,1000,1033.791299
