#{"t_start": 1711467608.398981, "env_id": "LunarLander-v2"}
r,l,t
-288.826433,103,0.301752
-193.439054,116,0.611477
-122.207568,152,1.057709
-205.874345,187,1.738587
-342.155236,188,2.468131
-235.040788,202,3.314049
-276.540073,308,4.696779
-128.03417,193,5.393476
43.084009,177,6.037864
-40.268455,307,7.314104
-167.734436,156,7.963054
-205.291597,224,8.949872
-13.203465,358,10.691693
-15.907632,164,11.525281
-155.47971,160,12.324067
-212.672583,272,13.639459
-161.542841,213,14.559399
-187.841977,200,15.58054
-178.200663,215,16.748639
-187.257801,231,17.856658
-62.32114,312,19.055212
-60.749971,219,19.885147
-160.858775,148,20.388681
163.674555,1000,25.626908
-138.875694,223,26.546785
-108.307204,167,27.287924
-45.142237,256,28.391684
-157.398904,144,29.186023
-127.887622,232,30.255635
-103.538231,234,31.387725
-189.221129,284,32.603331
-198.226095,202,33.58512
-59.812238,244,34.61731
-39.818712,383,36.521284
-208.357862,260,37.55771
-192.763959,156,38.175394
-224.066439,316,39.515916
39.8221,232,40.793427
-245.013946,256,42.460322
-212.136766,293,44.122711
121.96739,1000,49.8258
-36.781922,181,50.540475
204.736121,579,53.555388
-63.208475,156,54.252456
-167.6627,147,54.886694
177.316367,366,56.66163
-27.289802,158,57.397433
-1.527239,352,59.495576
43.002018,188,60.550086
49.157375,290,62.179491
-34.011967,222,63.416296
-228.737772,287,65.114531
-195.546401,228,66.426702
65.088072,173,67.437482
-16.227875,232,69.114663
-84.542753,386,72.157629
-11.260169,328,73.812468
3.773569,277,75.17769
237.558257,383,77.017142
-174.955202,249,78.489635
-57.286338,212,79.905494
283.0934,749,84.153022
232.231464,539,86.849544
-19.076501,321,88.74354
213.986014,705,92.911137
229.850838,469,95.520269
205.417985,533,98.517787
-26.979805,153,99.15326
-53.453857,413,101.517015
224.546934,587,105.399802
60.872861,175,106.1996
-125.152112,192,107.12381
-151.285535,135,107.693124
184.787023,530,110.742126
180.998983,517,113.324535
34.441381,228,114.363685
-27.847324,211,115.241581
31.777421,203,116.186399
21.685468,155,116.746799
168.93443,925,121.531903
35.310203,193,122.401166
