#{"t_start": 1711467608.3963964, "env_id": "LunarLander-v2"}
r,l,t
-107.621643,76,0.234173
-367.48512,118,0.541443
-58.776387,93,0.806386
30.725476,227,1.575754
-455.415721,195,2.316373
-291.271673,240,3.321078
-120.620075,180,4.096453
-23.664497,185,4.878734
-227.204807,169,5.519997
-155.887379,236,6.383524
-16.939363,258,7.521909
-189.707531,236,8.494624
-202.952948,260,9.717401
-56.369538,172,10.549826
-117.84952,232,11.765154
-179.138341,303,13.221178
-253.105596,391,15.03664
-11.435896,171,15.907793
-55.273111,281,17.422404
10.247056,221,18.270715
-119.09975,174,18.971472
-18.504129,223,19.833924
-51.770821,274,20.802871
-62.441249,163,21.5434
-47.25249,316,23.477557
-118.66755,317,25.195489
13.89747,172,25.954857
-37.21232,167,26.638369
-218.490647,217,27.545364
-42.118589,237,28.714211
-183.819354,220,29.757514
-116.964775,445,31.889267
-217.17099,354,33.481446
-233.850901,422,35.421085
-9.245795,247,36.594546
-219.743222,327,37.898639
-30.770999,879,42.492115
-25.54085,170,43.396962
-210.026813,336,45.31526
-0.781366,172,46.225087
15.328042,333,48.329381
28.370608,260,49.744497
278.883212,427,51.750407
-37.556129,225,52.914562
-243.918133,215,53.97905
247.644016,481,56.175471
7.372602,339,57.816081
-70.185167,316,59.816511
-203.424754,195,60.852165
-157.72126,150,61.719265
-3.994208,166,62.618315
15.211219,177,63.62583
-210.950797,360,65.769752
-34.514287,165,66.65081
204.810053,955,73.137982
29.802437,179,74.13082
44.451142,178,74.959751
-5.387958,314,76.568435
-4.320567,258,77.82143
0.100952,273,79.703015
-216.879403,437,82.291055
-258.983177,348,84.143117
-30.987706,268,85.430746
-58.705748,318,87.094223
-0.281639,307,88.902084
-75.315659,522,91.982721
168.914453,457,94.500592
-250.933795,246,96.002607
-208.750706,424,98.333611
207.92178,398,100.352522
-18.667017,382,102.787397
-247.119697,353,105.128139
281.779482,295,106.584933
34.822728,153,107.24244
175.984519,990,112.543967
-33.708542,200,113.496921
2.008029,119,114.052561
-33.591589,157,114.736295
-14.724557,184,115.523789
12.237371,222,116.484598
-165.919325,204,117.285643
-4.46324,353,118.961159
202.788471,602,122.252835
-32.374721,215,123.349826
-134.23114,147,124.193022
44.45744,256,125.448116
-31.22241,197,126.331841
242.460947,740,131.265182
-3.222283,243,133.387073
226.054215,371,135.517814
63.768622,1000,141.41668
-73.11119,82,141.92833
-5.771583,97,142.606488
24.944577,133,143.486854
154.612733,789,149.201361
273.659895,235,151.167042
-13.84253,1000,159.068915
-56.359581,726,165.079918
106.377386,1000,172.703258
-101.331713,584,178.224179
136.20126,859,184.771081
-47.620588,109,185.447552
-36.232172,155,186.311141
189.41647,367,189.060193
261.743062,280,191.421154
172.82413,377,195.453492
135.245502,551,200.741543
183.176285,412,204.53142
-33.286026,163,205.380434
194.30646,492,207.573626
-10.169398,191,208.376995
-100.935071,73,208.675959
-51.096867,165,209.319411
-74.727216,142,209.967736
63.420134,1000,214.168374
-73.776449,130,214.551467
-71.838599,132,214.936676
-44.173397,74,215.155344
-27.897658,122,215.498602
-4.768309,131,215.877617
-53.034781,148,216.300331
-67.728351,69,216.505014
-60.870367,118,216.864155
-81.87707,85,217.102646
-78.789149,85,217.354945
12.027262,104,217.665395
0.090333,120,218.018764
-19.481614,160,218.499869
-13.100569,94,218.826025
-6.122573,106,219.207284
47.080827,123,219.665713
-46.955854,227,220.904434
-55.417092,174,221.944278
167.262305,797,227.053985
-122.235984,1000,236.244202
-97.28346,1000,248.942708
274.981331,737,256.693424
317.644945,258,258.304957
-157.525894,203,259.993679
39.235352,155,261.606966
-61.712982,1000,271.95659
-57.740761,1000,282.470194
285.82832,377,285.643692
3.403506,1000,295.861625
-23.197287,1000,306.096311
-47.028927,1000,315.342505
-62.481402,590,320.263067
-48.006055,1000,327.326756
-28.631614,189,328.770972
-27.965959,171,330.108578
-42.71389,163,331.268628
-77.729184,1000,337.599491
-30.541711,141,338.495919
191.294982,255,339.995749
19.357021,84,340.467671
-34.268288,135,341.029374
-14.745238,74,341.300849
-5.441383,78,341.567841
-22.502492,91,341.85996
-23.50601,105,342.151544
-57.495761,117,342.51284
-6.874907,111,342.825489
-2.917302,79,343.03753
-2.829206,70,343.225235
-39.819763,125,343.553319
-25.514922,96,343.807153
-43.08675,92,344.057224
-36.155823,74,344.256233
7.107795,79,344.479844
-46.673404,104,344.761416
13.156585,104,345.0634
9.61129,88,345.311427
6.244762,73,345.503936
-23.664537,64,345.66947
-22.580029,108,345.954435
17.841557,120,346.269124
-26.784795,83,346.489842
-15.302851,93,346.752356
-69.711493,85,346.97986
11.154321,102,347.246455
3.433053,91,347.482707
8.000652,102,347.750347
-59.500781,81,347.971095
-20.174865,74,348.158259
14.145111,81,348.368194
-54.147357,92,348.603684
-11.787017,79,348.809394
29.147532,114,349.115073
14.65007,84,349.335253
1.151562,68,349.51513
4.356483,124,349.850283
40.221325,135,350.218868
259.481067,421,351.556927
12.57016,110,351.901665
-7.071284,104,352.217806
76.886496,109,352.546816
16.821695,134,352.899301
21.67093,112,353.229109
74.048064,114,353.637311
251.006173,279,354.73627
160.97134,915,358.999271
252.614828,247,360.113509
200.300143,239,361.502124
186.933999,308,363.593884
0.306435,1000,372.105345
-38.128015,1000,382.825974
-35.731703,1000,394.07214
-76.065543,1000,405.836725
89.104955,700,412.13205
196.993143,457,414.446767
-68.904724,235,415.580338
-89.649937,179,416.276289
-83.398044,253,417.389189
-105.558452,166,418.221072
-157.736987,232,419.169251
-142.95948,253,420.191441
-124.73737,168,420.889888
-118.325143,161,421.50345
-102.803198,368,423.461206
-95.468482,152,424.115893
-106.001903,264,425.214864
-110.301635,605,428.85082
-234.99742,983,438.849222
-90.301134,1000,448.353472
-80.702941,1000,457.807027
-74.532966,1000,467.902043
-72.667745,1000,477.880823
-52.284799,1000,488.934644
-68.728898,1000,499.303396
-128.76196,680,505.687274
-75.921396,1000,516.893949
-43.104657,1000,527.412466
-92.354495,1000,540.621285
-22.886674,1000,551.479088
-57.370669,1000,562.05826
-76.193531,1000,574.318776
111.67085,777,583.666588
-48.22158,1000,596.57547
-81.161994,1000,609.240181
-29.024819,1000,619.910883
0.785695,1000,631.123325
-94.095404,1000,642.637591
-60.560472,1000,652.958526
-89.815033,1000,663.888841
-39.299718,1000,674.91728
-46.335777,1000,686.787862
-93.692221,1000,697.60102
-73.794568,1000,708.675955
-9.438298,1000,719.686624
-75.864618,1000,732.268474
-35.546201,1000,744.154145
