#{"t_start": 1711467608.4065804, "env_id": "LunarLander-v2"}
r,l,t
-165.08995,87,0.254991
-113.566295,129,0.598047
-268.548206,168,1.090204
-349.222992,210,1.866932
-293.069717,172,2.546463
30.585552,186,3.327441
-379.68549,302,4.680541
-62.668939,255,5.611068
-247.117147,346,6.930233
-81.380956,178,7.746869
-175.583504,228,8.712954
-17.500999,1000,13.611634
-184.102135,245,14.699303
-179.781347,170,15.556471
-134.511515,254,16.927955
-48.72904,222,17.940236
-23.44182,178,18.616965
-241.124032,261,19.636134
-77.063666,159,20.192992
-63.732239,173,20.828883
207.801937,1000,26.106219
-230.250087,281,27.316441
-189.637853,149,27.878801
16.454721,252,29.224553
-177.272607,185,30.061985
-131.92417,166,30.866786
-62.630765,163,31.669162
-205.175359,201,32.478508
-183.966724,212,33.514855
-173.46654,132,34.035534
-97.637008,268,35.343307
-177.43641,245,36.52948
-98.221174,280,37.645059
-24.090254,240,38.605855
59.260989,1000,44.174266
-33.122743,156,44.996408
-190.075359,177,45.959474
-176.097922,140,46.772488
-147.224305,141,47.644845
-167.779939,125,48.494311
-25.92366,238,49.762283
19.831247,164,50.411964
226.53188,711,54.031322
-176.72878,306,55.366513
-17.9192,278,56.730507
206.753541,889,61.743016
-80.91555,178,62.697561
-41.733059,233,64.04396
36.927683,181,65.116786
40.977092,1000,72.056011
197.695664,790,76.061383
49.715865,128,76.639812
212.508633,907,82.076069
181.509196,463,84.46692
35.168966,109,84.984322
-46.022435,304,86.50211
223.751359,486,89.295489
55.345275,148,90.080878
245.361502,404,92.663314
-113.899162,343,94.47755
-146.207203,203,95.728086
-52.942154,155,96.51016
-15.487042,215,97.623325
236.459575,540,100.579344
262.013907,276,102.350646
-9.579514,349,104.65151
308.386488,235,105.937536
230.930149,515,108.38879
-144.526167,140,109.148044
-77.730173,299,110.949775
-35.394075,266,112.288574
13.512309,356,113.981619
62.837896,214,114.898214
29.850131,138,115.502971
36.660472,172,116.28756
-2.757249,287,117.402547
-7.683868,366,119.203413
-2.993786,256,120.58795
0.568512,218,121.87597
-85.638561,526,124.655439
40.689509,105,125.109027
208.299218,640,128.721146
-78.356343,616,133.42423
-25.44133,323,135.302838
9.714582,148,136.0537
12.497838,114,136.647712
-26.371912,151,137.417526
-35.249555,262,139.080924
-74.523495,96,139.608576
14.806403,137,140.487735
137.978354,893,146.372056
259.169713,615,151.422247
38.383221,298,153.077535
-42.345643,516,157.481705
117.093039,675,162.936436
196.877626,364,166.757882
-63.709056,109,167.74628
210.87904,280,169.666359
163.739688,530,173.254221
-110.474008,314,176.2105
236.655843,578,181.517935
65.257516,103,182.233122
108.495968,899,188.305264
114.614884,989,197.986397
-0.565448,98,198.671715
-38.055078,160,200.109415
164.591966,409,204.059063
88.546017,1000,208.739701
-20.330602,182,209.490717
-44.284115,86,209.871656
-61.304688,123,210.417946
-27.156757,96,210.857983
-69.935635,165,211.619709
-18.245211,138,212.291773
-74.161696,96,212.738551
-56.064014,75,213.028885
-87.677785,76,213.286679
-74.395462,159,213.854373
-35.107975,119,214.238202
-34.235359,132,214.624462
-112.796098,151,215.068709
-22.983785,98,215.349667
-65.923991,84,215.591822
-14.567252,116,215.920355
-59.273129,117,216.258633
-60.599049,70,216.462553
-33.922611,79,216.704779
-32.770257,112,217.022394
-54.838873,68,217.235059
-91.995352,147,217.665807
24.469118,114,218.002709
209.175182,920,222.152237
118.899371,555,225.55618
-99.668427,1000,234.408301
-85.98859,1000,246.794114
142.044092,974,256.893072
56.806984,273,258.632362
-57.559198,1000,268.677913
-26.321121,1000,279.039749
12.963224,283,282.098574
