#{"t_start": 1711302738.383135, "env_id": "LunarLander-v2"}
r,l,t
-180.354106,92,0.954891
-234.361768,67,1.135933
-435.362023,91,1.383642
-200.986484,63,1.556685
-158.393088,104,1.841265
-263.694003,136,2.217766
-141.607341,114,2.533456
-158.061982,128,2.918222
-22.254343,129,3.294061
-62.298089,131,3.717101
-263.341441,248,4.679735
-165.655901,181,5.499488
-196.838023,227,6.75828
-26.449715,99,7.374156
-274.946583,200,8.634839
-247.608836,264,9.816204
-255.640827,207,10.696123
-167.878107,165,11.398488
-259.377317,300,12.518809
-48.972604,165,13.224803
-217.931999,295,14.427928
44.491299,293,15.817672
-72.873745,165,16.546661
-48.533847,318,17.989468
-14.236025,115,18.579011
-118.02172,157,19.33924
-212.451317,239,20.664625
-237.767719,243,21.905811
-181.042203,169,22.714031
-181.581434,199,23.573683
-183.122125,213,24.662789
-38.052577,291,26.499046
-39.339952,370,28.647594
-78.624046,310,30.459599
-134.167661,160,31.363249
-185.129401,214,32.751127
-214.535146,408,34.950428
-115.413229,265,36.232267
-52.772796,230,37.144486
-162.654887,139,37.752624
-275.421807,168,38.736991
30.669011,259,40.145932
-152.782489,215,41.252035
34.516074,224,42.237706
-12.398565,319,43.793543
-62.526024,272,44.938981
231.223846,923,50.169443
-220.122868,261,51.176242
-200.943017,188,52.039689
-190.559818,297,53.538639
-188.15565,207,54.581361
23.976701,211,55.509226
-186.784134,334,57.161404
-159.866643,140,57.93688
254.813507,343,59.880279
40.364024,271,61.325235
-4.526504,148,62.172052
63.304861,114,62.767818
-26.766909,88,63.171957
-156.911878,197,63.887483
-26.113115,161,64.502468
-224.19279,285,65.707712
-30.485493,212,66.765491
73.332373,186,67.59848
-180.395376,237,68.61832
13.869383,165,69.267797
-35.260617,401,71.353828
46.648972,1000,76.787674
-223.93734,279,78.499133
-129.784908,171,79.41254
216.650628,525,82.649699
202.615905,725,86.852369
-2.903294,227,87.950768
50.819204,1000,94.183665
194.361262,511,97.152813
-24.269117,290,98.715457
23.858569,166,99.475647
-67.070634,297,101.041268
254.928441,349,102.732476
256.010268,317,104.53012
-88.423093,486,107.710694
-33.324839,316,109.745548
-157.393132,219,111.522796
-148.880632,207,112.717597
-127.532558,201,113.694037
244.816043,360,115.736484
44.059719,245,117.098779
-112.009822,256,118.70922
-95.587644,226,119.811141
-227.433524,421,122.236106
285.115112,255,123.524582
250.014324,337,125.458839
12.794752,291,126.941
-179.90833,208,128.055019
261.509638,325,130.191331
256.226731,314,132.182987
-216.906634,499,135.430794
251.895201,555,139.837569
71.708619,1000,147.81354
180.974555,535,150.925113
-199.62041,354,152.600238
-54.731809,174,153.493191
87.199839,1000,160.011521
31.904607,222,161.291933
227.075679,856,166.10207
11.174117,233,167.458341
46.055979,230,168.677476
3.303525,238,169.681102
-27.256527,321,171.548583
-31.816193,334,174.051507
-105.419319,499,178.500473
-27.128233,253,181.063522
-64.924964,325,183.981868
208.28489,562,186.962869
44.63876,204,187.99656
241.631197,302,189.641701
155.407335,802,195.927445
218.962062,514,199.956459
137.300084,854,210.144284
