#{"t_start": 1711495472.588361, "env_id": "LunarLander-v2"}
r,l,t
-91.348433,125,6.462496
-82.058729,94,6.487228
-144.144098,88,6.509043
-56.54852,103,6.534998
-87.916403,80,6.55472
15.719001,99,6.583117
-123.124969,68,6.598821
-41.821564,74,6.616978
-194.503471,62,6.631681
-84.096501,67,6.65446
-383.411017,85,6.675424
-104.17582,95,6.699302
-77.73711,70,6.719846
-221.120701,108,6.749438
-261.391282,101,6.78209
-325.140441,88,6.803328
-235.991547,124,6.836976
-208.136092,76,6.859644
-507.788645,78,6.879605
-123.019572,78,6.898363
-86.406129,64,6.913539
-201.49987,106,6.948801
-90.28199,81,6.967896
-388.070005,89,6.993339
-128.043516,100,7.019536
-148.795391,67,7.037801
-368.758266,124,7.06905
-200.562459,93,7.092533
-293.851933,83,7.112806
-303.883269,84,7.136688
-258.067556,118,7.166678
-105.670753,79,7.185705
-79.803427,95,7.20977
-10.585735,129,7.246617
-68.245874,118,7.280955
-117.990026,101,7.306291
-85.515294,70,7.324341
-381.816016,132,7.362736
-369.49493,89,7.384889
-289.177894,83,7.40663
-264.336813,123,7.439265
-118.349206,90,7.464562
-85.22468,107,7.491422
-92.065439,106,7.522013
-104.811753,82,7.542863
-121.012626,72,7.561436
-86.185003,85,7.581625
-279.789485,111,7.610268
-70.308405,63,7.625438
-170.468857,66,7.643074
-86.531904,61,7.657921
-117.695086,73,7.67547
-101.61582,67,7.69067
-70.264529,61,7.706931
-165.114024,108,7.734063
-212.311449,98,7.758793
-119.273622,101,7.788422
-151.678493,107,7.821331
-429.798036,109,7.854022
-502.257419,118,7.884052
-268.411068,101,7.910059
-396.235144,92,7.936411
-393.965448,80,7.956296
-39.890694,156,8.001413
-296.350518,87,8.022309
-433.466775,91,8.047555
-170.585763,99,8.075248
-116.197321,98,8.099519
-133.464421,87,8.121184
-86.731186,91,8.145128
-111.176185,88,8.167244
-93.006941,74,8.185288
-106.232262,125,8.216694
-162.364428,86,8.243282
-339.06756,111,8.270924
-115.081844,83,8.291483
-371.837159,108,8.321855
-64.562911,67,8.34082
-311.980525,123,8.37278
-437.617705,108,8.398566
-122.091885,63,8.413192
-84.398337,72,8.433973
-332.639253,95,8.464369
-84.938375,87,8.486444
-325.607041,102,8.512803
-175.461767,77,8.532812
-385.091033,117,8.563397
-438.225557,97,8.592617
-128.479335,60,8.606534
-148.144655,83,8.62786
-214.151374,119,8.660129
-354.59419,99,8.683834
-110.424714,67,8.699889
-89.670525,78,8.72073
-116.985833,74,8.738416
-75.446102,107,8.764027
-53.048546,79,8.78389
-152.61232,82,8.804586
-435.472588,94,8.82781
-84.608695,71,8.848828
-152.910344,123,8.88196
-171.772671,83,8.903226
-363.95081,82,8.92333
-191.84906,109,8.951491
-52.586639,76,8.970348
-127.985826,100,8.997281
-146.132867,69,9.01399
-265.453042,113,9.043195
-427.05431,130,9.078665
-312.892956,124,9.115683
-105.004537,81,9.135268
-230.658753,63,9.150299
-218.637612,97,9.175825
-204.627744,108,9.210854
-104.205342,72,9.22848
-101.736335,71,9.245417
-363.012884,86,9.266748
-74.338774,71,9.291948
-196.392418,113,9.320577
-106.628012,73,9.338287
-234.239117,78,9.357263
-257.355548,82,9.384415
-360.969236,88,9.406545
-230.658651,69,9.42345
-80.531992,64,9.438686
-108.217394,141,9.480584
-225.833778,125,9.512716
-81.317687,80,9.532056
-72.052051,73,9.549414
-181.441558,87,9.573064
-308.53136,93,9.597586
-331.32371,99,9.62306
-428.06248,116,9.65771
-82.135509,118,9.690281
-322.285505,96,9.714509
-108.593076,76,9.733935
-116.318263,97,9.758385
-495.263599,86,9.781463
-177.89477,111,9.8108
-148.162635,86,9.831028
-244.893399,109,9.859537
-103.538468,104,9.887762
-175.786753,108,9.918146
5.887431,141,9.95753
-217.048228,102,9.983192
-188.334707,65,10.001679
-338.920313,89,10.02379
-254.70958,74,10.041926
-304.721631,112,10.071489
-126.25358,67,10.088601
-57.203397,61,10.103271
-81.464688,56,10.116706
-82.686174,120,10.149405
-83.42486,68,10.171776
-149.902459,107,10.20551
-407.617366,105,10.232509
-113.779343,98,10.256786
-154.578488,100,10.28909
-136.964414,85,10.309557
-135.034276,70,10.326102
-365.324826,95,10.349353
-93.068541,74,10.369924
-112.318002,87,10.391875
-107.634513,84,10.412343
-244.692707,96,10.43971
-163.865509,76,10.460913
-145.143705,121,10.492867
-157.391546,75,10.51083
-308.227254,97,10.534935
-138.070811,58,10.549901
-55.201874,62,10.564846
-106.087458,73,10.582139
-77.170253,110,10.609291
-233.936571,89,10.634585
-163.698311,84,10.654949
-331.973185,102,10.684764
-72.356827,67,10.700754
-130.701369,96,10.727143
-136.504669,135,10.762997
-329.903822,111,10.791808
-94.154305,64,10.805801
-117.613072,111,10.837242
23.332467,83,10.8577
-192.87768,108,10.88466
-124.875416,132,10.918914
-142.338594,102,10.949304
-322.844867,88,10.970843
-158.285647,67,10.986985
-101.435523,113,11.017802
-216.822389,94,11.042997
-199.207572,72,11.060851
-28.339873,125,11.093197
-361.492255,96,11.116657
-126.60404,66,11.140677
25.008508,115,11.17396
-409.397854,84,11.193501
-424.197497,87,11.219053
-146.184306,115,11.25111
-119.920213,78,11.270249
-270.607281,123,11.303224
-122.835858,104,11.32778
-92.522856,95,11.359027
-550.032721,91,11.381644
-179.93747,103,11.407314
-179.899883,94,11.430901
-111.083624,73,11.449591
-54.571611,142,11.491921
-55.118106,72,11.508992
-411.248533,101,11.53578
-197.141524,107,11.565182
-183.97712,109,11.593694
-98.931659,96,11.616997
-123.579787,101,11.641999
-145.268136,63,11.65858
-117.402329,100,11.68267
-123.971538,93,11.706046
-108.743092,64,11.720281
-330.68925,92,11.749605
-109.310751,66,11.765321
-136.230277,103,11.7919
-196.030914,119,11.822412
-322.77504,119,11.855519
-278.863573,86,11.877818
-195.099675,90,11.900471
-501.672954,121,11.932033
-185.229051,107,11.966633
-401.225987,133,12.002306
-143.267711,88,12.028077
-103.453448,69,12.044193
-218.255839,131,12.081606
-112.100083,68,12.097607
-338.325322,104,12.123828
-417.931813,90,12.146251
-258.286515,113,12.178387
-248.626053,66,12.194976
-83.205273,78,12.214442
-173.557434,86,12.23496
-97.689704,58,12.250617
-178.190953,71,12.2708
-113.204819,77,12.289375
-256.368988,94,12.313537
-59.491811,87,12.336896
36.922925,77,12.356574
-251.259338,85,12.377655
-137.464991,85,12.397755
-73.31117,84,12.434426
-146.78076,84,12.455047
-198.779436,104,12.481796
-81.898647,64,12.497045
-15.94487,86,12.52118
-92.872739,89,12.546316
-102.083133,107,12.57426
-64.6776,66,12.590086
-193.107508,110,12.619287
-66.889495,78,12.638413
-114.358927,73,12.65598
-103.207805,60,12.66972
-127.922058,81,12.69215
-240.966775,110,12.721566
-111.695172,86,12.74235
-111.078071,69,12.759243
-75.40498,65,12.776123
-250.80145,88,12.806033
-81.257776,88,12.82711
-423.766514,106,12.854068
-143.757872,96,12.885453
-150.846639,82,12.904553
-181.784913,77,12.923373
-281.635924,120,12.953304
-422.387379,94,12.980923
-76.555497,65,12.996443
-99.755424,67,13.012621
-141.130949,66,13.028356
-234.537897,86,13.051898
-98.179649,81,13.074566
-108.907905,64,13.089835
-167.43651,107,13.11767
-131.111509,66,13.135725
-101.558659,138,13.172487
-262.223836,143,13.211246
-230.30663,102,13.23745
-119.407688,93,13.263356
-156.703259,69,13.280146
-279.066198,88,13.302111
-165.908815,111,13.334129
-29.728818,77,13.35583
-357.968233,112,13.383982
-226.406607,113,13.413343
-141.81964,93,13.436107
-190.936243,123,13.469392
-261.290513,56,13.483269
-132.505778,106,13.509506
-128.975253,125,13.543475
-114.223252,101,13.575817
-126.137131,85,13.601114
-92.995914,63,13.616241
-358.390796,97,13.642004
-95.964403,69,13.66093
-367.364565,118,13.695661
-124.913891,103,13.72068
-73.792629,109,13.748215
-415.864139,106,13.777625
-97.717314,63,13.792318
-75.285549,73,13.810905
-205.32077,115,13.840152
-113.160085,73,13.859944
-339.759935,97,13.948974
-162.768373,98,14.027927
-383.246086,74,14.085734
-116.440242,119,14.177973
-305.443364,88,14.245058
-172.152595,67,14.299954
-106.920851,111,14.387797
-121.548882,75,14.448159
-61.847039,89,14.519724
-49.543181,85,14.585032
-266.945195,109,14.675081
-73.361468,82,14.743555
-291.234969,133,14.848959
-139.155093,107,14.932575
-266.160216,87,15.002698
-165.263664,90,15.073872
-517.434662,97,15.152102
-152.343462,157,15.281155
-152.601683,82,15.346251
-106.963669,160,15.483095
-36.565944,113,15.570225
-213.661277,132,15.678217
-114.037072,125,15.779564
-275.483215,103,15.861791
-359.416444,114,15.952239
-367.123545,102,16.03044
-299.248371,105,16.113359
-438.415201,117,16.202314
-209.636521,95,16.277665
-210.188789,109,16.361156
