#{"t_start": 1711500490.35478, "env_id": "LunarLander-v2"}
r,l,t
241.550515,561,1.541591
261.335452,304,2.343063
257.166086,238,2.974267
226.314649,352,3.921274
261.720884,290,4.683118
213.364697,489,5.973446
294.567859,257,6.66117
231.144535,343,7.582098
228.000638,358,8.527422
114.418283,1000,11.174054
